Construction,Direction,District,Floor,Garden,Height,Id,Layout,Price,Region,Renovation,Size,Subway,Taxfree,UnitPrice
板楼,南北,省医院商圈,中楼层,四季上东一期,31,1.02103E+11,4室2厅,525,香坊,其他,243.3,否,否,21578
塔楼,西北,中央大街,中楼层,观江国际,42,1.02103E+11,3室2厅,520,道里,精装,189.6,否,否,27422
塔楼,东西北,中央大街,中楼层,观江国际,42,1.02104E+11,3室2厅,520,道里,精装,190,否,否,27369
板楼,南北,群力新区,中楼层,盛和世纪,5,1.02102E+11,3室2厅,520,道里,精装,195.3,否,否,26622
板楼,南北,省医院商圈,高楼层,四季上东第二期,42,1.02103E+11,4室2厅,520,香坊,其他,242,否,否,21488
板楼,南北,省医院商圈,高楼层,四季上东第二期,42,1.02103E+11,4室2厅,520,香坊,其他,242,否,否,21488
板楼,南北,省医院商圈,低楼层,四季上东一期,31,1.02103E+11,4室2厅,520,香坊,其他,249,否,否,20884
塔楼,东西南,中央大街,高楼层,观江国际,39,1.02104E+11,4室2厅,510,道里,精装,198,否,否,25758
板塔结合,南北,群力新区,中楼层,富力江湾新城,28,1.02103E+11,3室2厅,510,道里,精装,221,否,否,23077
板楼,南北,群力新区,中楼层,盛和世纪,5,1.02104E+11,3室2厅,500,道里,其他,172.2,否,否,29040
板楼,南北,哈西商圈,中楼层,辰能溪树庭院,5,1.02101E+11,3室2厅,500,南岗,精装,201,是,否,24876
板楼,南北,兆麟校,中楼层,宝宇天邑澜湾,40,1.02103E+11,3室2厅,500,道外,精装,203,否,否,24631
板楼,南北,群力新区,低楼层,盛和天下,30,1.02102E+11,4室2厅,500,道里,精装,224.1,否,否,22310
板楼,南北,省医院商圈,低楼层,四季上东第二期,44,1.02104E+11,4室2厅,500,香坊,其他,240,否,否,20834
板楼,南北,省医院商圈,高楼层,四季上东一期,31,1.02103E+11,4室2厅,500,香坊,其他,248,否,否,20162
板楼,西南,先锋路商圈,低楼层,辽河小区,7,1.02104E+11,5室3厅,500,南岗,精装,490,否,否,10205
板楼,南北,哈西商圈,高楼层,辰能溪树庭院,5,1.02101E+11,4室2厅,495,南岗,精装,151.7,是,否,32633
板楼,南北,群力新区,高楼层,汇锦庄园,34,1.02102E+11,5室2厅,495,道里,精装,263,否,否,18822
板楼,南北东,哈西商圈,中楼层,辰能·溪树庭院南区,20,1.02102E+11,4室2厅,490,南岗,精装,190,是,否,25790
板楼,南北,兆麟校,高楼层,宝宇天邑澜湾,32,1.02102E+11,3室2厅,490,道外,精装,213.5,否,否,22948
板塔结合,南北,群力新区,低楼层,富力江湾新城,28,1.02103E+11,3室2厅,490,道里,其他,221.5,否,否,22118
板塔结合,东西,爱建,中楼层,上实盛世江南,18,1.02103E+11,5室1厅,490,道里,其他,251.8,否,否,19462
板楼,南北,群力新区,中楼层,瑾翠华府,7,1.02104E+11,3室2厅,489,道里,其他,174,否,否,28104
板楼,南北,兆麟校,中楼层,宝宇天邑澜湾,43,1.02103E+11,3室2厅,485,道外,精装,202,否,否,24010
板塔结合,南北,爱建,中楼层,上实盛世江南,28,1.02103E+11,4室2厅,485,道里,其他,251.7,否,否,19269
板楼,南北,群力新区,低楼层,保利上城,6,1.02103E+11,3室2厅,480,道里,其他,193.6,否,否,24799
板楼,东西北,兆麟校,中楼层,宝宇天邑澜湾,24,1.02103E+11,3室2厅,480,道外,精装,196,否,否,24490
板楼,东西北,兆麟校,低楼层,宝宇天邑澜湾,24,1.02102E+11,3室2厅,480,道外,精装,198,否,否,24243
板楼,南北,兆麟校,低楼层,宝宇天邑澜湾,43,1.02103E+11,3室2厅,480,道外,精装,202,否,否,23763
板楼,南北,兆麟校,低楼层,宝宇天邑澜湾,43,1.02104E+11,3室3厅,480,道外,精装,203,否,否,23646
板塔结合,南北,中央大街,中楼层,观江国际,42,1.02104E+11,3室2厅,480,道里,毛坯,224.8,否,否,21353
塔楼,南北,中央大街,低楼层,观江国际,42,1.02104E+11,3室2厅,480,道里,简装,232,否,否,20690
板楼,南北,省医院商圈,高楼层,四季上东一期,31,1.02102E+11,5室2厅,480,香坊,精装,243,否,否,19754
板楼,南北,群力新区,高楼层,天鹅湾,28,1.02104E+11,4室2厅,480,道里,其他,243.5,否,否,19710
板塔结合,东南,中央大街,中楼层,观江国际,39,1.02103E+11,3室2厅,480,道里,毛坯,256,否,否,18750
塔楼,西北,中央大街,中楼层,太阳居公寓,32,1.02104E+11,3室2厅,480,道里,其他,337,否,否,14244
板楼,南北,动力区,低楼层,天悦小区,6,1.02103E+11,5室1厅,480,香坊,其他,410,否,否,11708
板塔结合,南北,爱建,高楼层,上实盛世江南,28,1.02102E+11,4室2厅,479,道里,简装,253.3,否,否,18908
板楼,南北,群力新区,低楼层,盛和天下,30,1.02103E+11,4室2厅,475,道里,其他,224,否,否,21206
板楼,南北,兆麟校,高楼层,宝宇天邑澜湾,32,1.02101E+11,3室2厅,470,道外,精装,206,否,否,22816
板楼,南北,省医院商圈,高楼层,四季上东第二期,37,1.02102E+11,4室2厅,470,香坊,精装,243.8,否,否,19277
板楼,南北,群力新区,高楼层,群力观江国际,28,1.02103E+11,3室2厅,465,道里,精装,183,否,否,25410
暂无数据,南北,群力新区,高楼层,瑾翠华府,7,1.02103E+11,3室2厅,465,道里,其他,186,否,否,25000
板楼,南北,兆麟校,中楼层,宝宇天邑澜湾,43,1.02103E+11,3室2厅,465,道外,精装,202,否,否,23020
板楼,南北,兆麟校,高楼层,宝宇天邑澜湾,43,1.02103E+11,3室2厅,465,道外,毛坯,202,否,否,23020
板楼,南北,群力新区,中楼层,盛和世纪,5,1.02102E+11,3室2厅,463,道里,精装,197.1,否,否,23489
板楼,南北,哈西商圈,高楼层,辰能溪树庭院,15,1.02103E+11,4室2厅,460,南岗,精装,168,是,否,27381
板楼,南北,中央大街,高楼层,壹江南,13,1.02103E+11,3室2厅,460,道里,精装,193.3,否,否,23803
板楼,南北,兆麟校,高楼层,宝宇天邑澜湾,40,1.02104E+11,2室2厅,460,道外,精装,203,否,否,22661
板塔结合,南北,爱建,低楼层,上实盛世江南,30,1.02103E+11,3室2厅,460,道里,精装,206.3,否,否,22296
板楼,南北,省医院商圈,低楼层,四季上东一期,31,1.02103E+11,4室2厅,460,香坊,其他,249,否,否,18474
板楼,西南,省医院商圈,高楼层,四季上东一期,31,1.02103E+11,5室2厅,460,香坊,其他,249.1,否,否,18465
板楼,南北,群力新区,高楼层,星光耀广场,29,1.02104E+11,5室2厅,460,道里,精装,250,否,否,18400
塔楼,东南,花园铁岭继红校,中楼层,恒运大厦,28,1.02103E+11,4室2厅,455,南岗,精装,196,是,否,23215
板楼,南北东,群力新区,高楼层,富力江湾新城,29,1.02103E+11,3室2厅,450,道里,精装,150,否,否,30000
板楼,南北,群力新区,中楼层,汇锦庄园,31,1.02102E+11,3室1厅,450,道里,精装,178,否,否,25281
板塔结合,南北,兆麟校,中楼层,景江名苑,30,1.02102E+11,3室2厅,450,道外,其他,184.6,否,否,24371
板塔结合,南北,群力新区,高楼层,富力江湾新城,40,1.02104E+11,3室2厅,450,道里,精装,188,否,否,23937
板楼,南北西,南岗会展商圈,低楼层,公园丽景(南岗区),27,1.02104E+11,3室2厅,450,南岗,精装,195,否,否,23077
塔楼,西,中央大街,高楼层,观江国际,39,1.02104E+11,3室2厅,450,道里,简装,197,否,否,22843
板楼,南北,兆麟校,高楼层,宝宇天邑澜湾,32,1.02103E+11,3室2厅,450,道外,精装,197,否,否,22843
板楼,南北,群力新区,中楼层,盛和世纪,5,1.02102E+11,3室2厅,450,道里,精装,197.4,否,否,22795
板楼,南北,群力新区,低楼层,群力观江国际,30,1.02104E+11,4室2厅,450,道里,其他,201,否,否,22389
板楼,南北,群力新区,高楼层,翠湖天地翠园,24,1.02103E+11,4室2厅,450,道里,其他,216,否,否,20835
板楼,南北,省医院商圈,低楼层,四季上东一期,31,1.02103E+11,4室1厅,450,香坊,其他,244,否,否,18443
板楼,南北,省医院商圈,中楼层,四季上东一期,31,1.02103E+11,4室2厅,450,香坊,精装,245,否,否,18368
板楼,南北,省医院商圈,中楼层,四季上东一期,31,1.02103E+11,4室2厅,450,香坊,精装,245,否,否,18368
板楼,南北,省医院商圈,高楼层,四季上东一期,31,1.02104E+11,4室1厅,450,香坊,精装,249,否,否,18073
板楼,南北,群力新区,低楼层,星光耀广场二期,35,1.02104E+11,5室3厅,450,道里,精装,249,否,否,18073
板塔结合,南西北,哈西商圈,高楼层,悦城,5,1.02103E+11,5室2厅,449,南岗,精装,206.6,是,否,21732
板楼,南西,花园铁岭继红校,高楼层,恒运大厦,27,1.02104E+11,3室2厅,448,南岗,精装,198,是,否,22627
塔楼,北,中央大街,低楼层,观江国际,39,1.02103E+11,3室1厅,440,道里,精装,180,否,否,24445
暂无数据,南北,玛克威,低楼层,滨江新城好民居,2,1.02104E+11,2室1厅,439,道外,简装,318.6,否,否,13778
板楼,南北,群力新区,低楼层,中海寰宇天下,22,1.02104E+11,5室3厅,438,道里,精装,126,否,否,34762
板楼,北南,群力新区,中楼层,盛和世纪,32,1.02104E+11,3室1厅,438,道里,简装,200.5,否,否,21843
板楼,东西北,中央大街,高楼层,中央经典,24,1.02101E+11,3室2厅,435,道里,精装,231,否,否,18832
板楼,南北,南岗会展商圈,低楼层,金色莱茵,20,1.02102E+11,4室1厅,435,道外,简装,326,否,否,13344
板塔结合,西北,中央大街,中楼层,观江国际,39,1.02104E+11,3室1厅,430,道里,精装,189,否,否,22752
塔楼,南北,中央大街,中楼层,观江国际,39,1.02103E+11,3室2厅,430,道里,简装,197.7,否,否,21747
板楼,南北,群力新区,高楼层,群力新城北区,24,1.02104E+11,4室2厅,430,道里,精装,204,否,否,21079
板塔结合,南,南岗会展商圈,高楼层,华鸿国际,35,1.02104E+11,3室1厅,430,道外,其他,205,否,否,20979
板塔结合,南北,哈西商圈,低楼层,南郡·香醍雅诺,15,1.02104E+11,4室2厅,430,南岗,精装,205,是,否,20976
板楼,南北,宣西宣庆体院,中楼层,海富金棕榈,31,1.02103E+11,4室2厅,430,南岗,精装,217,否,否,19816
板楼,南北,省医院商圈,低楼层,四季上东第二期,42,1.02103E+11,3室2厅,426,香坊,精装,243,否,否,17531
板塔结合,南北,哈西商圈,中楼层,南郡·香醍雅诺,17,1.02103E+11,4室2厅,425,南岗,精装,223.2,否,否,19043
暂无数据,南北,群力新区,高楼层,保利上城,6,1.02103E+11,6室2厅,420,道里,其他,113,否,否,37169
板楼,南北,省医院商圈,低楼层,四季上东三期,36,1.02104E+11,4室2厅,420,香坊,精装,166.9,否,否,25159
板楼,东西,中央大街,中楼层,松花江·尚,8,1.02104E+11,3室2厅,420,道里,其他,172,否,否,24419
板楼,南北,省医院商圈,中楼层,四季上东一期,31,1.02104E+11,3室1厅,420,香坊,精装,176,否,否,23864
塔楼,南北,中央大街,低楼层,观江国际,39,1.02104E+11,3室2厅,420,道里,精装,179.5,否,否,23392
板楼,南北,群力新区,低楼层,群力观江国际,30,1.02104E+11,4室1厅,420,道里,其他,199.6,否,否,21038
板楼,南北,群力新区,高楼层,群力新城北区,26,1.02102E+11,4室1厅,420,道里,毛坯,204,否,否,20589
板楼,南北,兆麟校,低楼层,宝宇天邑澜湾,32,1.02103E+11,3室2厅,420,道外,精装,205.6,否,否,20430
板楼,南北,兆麟校,低楼层,宝宇天邑澜湾,43,1.02104E+11,3室1厅,420,道外,精装,206,否,否,20389
板楼,南北,省医院商圈,低楼层,四季上东一期,30,1.02102E+11,3室3厅,420,香坊,精装,243,否,否,17284
板楼,南北,省医院商圈,高楼层,四季上东第二期,44,1.02103E+11,4室2厅,420,香坊,其他,243,否,否,17284
板楼,东南北,船舶军工,低楼层,文化家园,16,1.02103E+11,6室1厅,420,南岗,简装,342.9,否,否,12250
板楼,南北,省医院商圈,中楼层,四季上东一期,31,1.02103E+11,4室2厅,418,香坊,精装,243,否,否,17202
板楼,东西,万达商圈,低楼层,赣水路,7,1.02102E+11,6室2厅,418,香坊,精装,315,否,否,13270
暂无数据,南北,群力新区,中楼层,瑾翠华府,7,1.02104E+11,3室2厅,415,道里,毛坯,164,否,否,25305
板楼,南北,群力新区,高楼层,外滩首府,31,1.02104E+11,3室2厅,415,道里,其他,182,否,否,22803
板楼,南北,群力新区,中楼层,群力新城北区,28,1.02104E+11,4室2厅,415,道里,其他,204.5,否,否,20291
板楼,南北,兆麟校,中楼层,宝宇天邑澜湾,31,1.02103E+11,4室2厅,410,道外,精装,197,否,否,20813
板楼,南北,群力新区,高楼层,群力新城北区,24,1.02104E+11,4室2厅,410,道里,其他,204,否,否,20099
板楼,南北,省医院商圈,低楼层,四季上东第二期,37,1.02102E+11,5室2厅,410,香坊,精装,242.1,否,否,16933
板塔结合,南北西,兆麟校,低楼层,东升江畔,33,1.02104E+11,3室2厅,404,道外,其他,202,否,否,20000
板楼,南北,群力新区,高楼层,盛和世纪,30,1.02103E+11,3室2厅,402,道里,其他,165,否,否,24364
板楼,南北,群力新区,中楼层,翠湖天地翠园,6,1.02104E+11,2室1厅,400,道里,精装,144.6,否,否,27671
板塔结合,南北东,群力新区,高楼层,群力观江国际,26,1.02103E+11,4室2厅,400,道里,其他,167,否,否,23953
板楼,南北,省医院商圈,高楼层,四季上东第二期,36,1.02103E+11,3室2厅,400,香坊,精装,174,否,否,22989
板楼,南北,省医院商圈,高楼层,四季上东一期,30,1.02103E+11,3室2厅,400,香坊,精装,176,否,否,22728
板楼,南北,群力新区,低楼层,汇锦庄园,34,1.02104E+11,3室2厅,400,道里,其他,177,否,否,22599
板楼,南北,群力新区,低楼层,招商贝肯山二期,6,1.02103E+11,5室3厅,400,道里,其他,190,否,否,21053
板楼,北南,群力新区,低楼层,恒盛豪庭,26,1.02104E+11,4室2厅,400,道里,精装,200,否,否,20000
板楼,南北,群力新区,低楼层,群力新城北区,28,1.02102E+11,4室2厅,400,道里,毛坯,205,否,否,19513
板楼,南北,省医院商圈,高楼层,四季上东一期,31,1.02103E+11,5室2厅,400,香坊,其他,207,否,否,19324
板楼,南北,南岗会展商圈,低楼层,金色莱茵,20,1.02103E+11,4室2厅,400,道外,简装,220,否,否,18182
板楼,南东北西,安字片,高楼层,新湖明珠,26,1.02103E+11,4室2厅,400,道里,简装,242,否,否,16529
板楼,南北,哈西商圈,高楼层,辰能溪树庭院,11,1.02102E+11,4室3厅,399.8,南岗,精装,154,是,否,25954
板塔结合,东北,中央大街,低楼层,观江国际,42,1.02104E+11,3室2厅,399,道里,其他,187.6,否,否,21269
板楼,南北,群力新区,高楼层,盛和世纪,22,1.02101E+11,3室2厅,399,道里,精装,193.5,否,否,20617
板楼,南北,中央大街,中楼层,友谊路,6,1.02102E+11,4室2厅,399,道里,精装,285,否,否,14000
板楼,南北,群力新区,中楼层,翠湖天地翠园,6,1.02104E+11,2室2厅,398,道里,精装,144,否,否,27639
板楼,南北,群力新区,中楼层,翠湖天地翠园,6,1.02104E+11,2室1厅,398,道里,其他,149.9,否,否,26559
板楼,南北,群力新区,高楼层,恒盛豪庭,32,1.02103E+11,4室2厅,398,道里,其他,189,否,否,21059
暂无数据,南北,平房商圈,低楼层,碧桂园欧洲城,3,1.02104E+11,6室2厅,398,平房,其他,220.2,否,否,18075
板塔结合,南北,爱建,高楼层,上实盛世江南,30,1.02104E+11,4室1厅,398,道里,精装,237.9,否,否,16733
板楼,南北,省医院商圈,低楼层,四季上东一期,31,1.02103E+11,4室2厅,398,香坊,其他,260,否,否,15308
板塔结合,南北,爱建,中楼层,上实盛世江南,30,1.02103E+11,3室2厅,397,道里,精装,168.7,否,否,23536
板楼,南北,群力新区,低楼层,中海·紫御观邸,6,1.02104E+11,3室2厅,395,道里,精装,143,否,否,27623
板塔结合,南北,兆麟校,中楼层,景江名苑,30,1.02102E+11,2室1厅,395,道外,精装,189.9,否,否,20803
板楼,南北,兆麟校,低楼层,宝宇天邑澜湾,40,1.02104E+11,3室2厅,395,道外,其他,202,否,否,19555
板楼,南北,兆麟校,低楼层,宝宇天邑澜湾,43,1.02103E+11,3室2厅,395,道外,精装,202,否,否,19555
板楼,南北,群力新区,中楼层,星光耀广场二期,35,1.02103E+11,4室2厅,395,道里,其他,244.7,否,否,16143
板楼,南北,群力新区,高楼层,盛和世纪,32,1.02104E+11,3室2厅,390,道里,其他,165,否,否,23637
板楼,南北,兆麟校,低楼层,宝宇天邑澜湾,43,1.02104E+11,3室2厅,390,道外,其他,202,否,否,19307
塔楼,南北,龙塔,高楼层,蓝天荣府,24,1.02104E+11,3室2厅,390,南岗,精装,209,否,否,18661
板楼,南西北,哈西商圈,中楼层,辰能溪树庭院,7,1.02104E+11,3室2厅,388.9,南岗,精装,147,否,否,26459
板楼,北南,万达商圈,中楼层,名人府邸,7,1.02102E+11,3室3厅,388,南岗,精装,265,否,否,14642
板楼,南北,哈西商圈,低楼层,辰能·溪树庭院南区,15,1.02103E+11,3室2厅,385,南岗,精装,141,是,否,27305
板楼,南北,群力新区,中楼层,盛和世纪,30,1.02102E+11,3室2厅,385,道里,精装,165,否,否,23334
板楼,南北,群力新区,高楼层,盛和世纪,30,1.02103E+11,3室2厅,385,道里,其他,165.5,否,否,23263
板楼,南北,群力新区,中楼层,汇锦庄园,31,1.02104E+11,3室2厅,385,道里,其他,178,否,否,21630
板楼,东南北,群力新区,中楼层,外滩首府,22,1.02103E+11,3室2厅,380,道里,其他,154,否,否,24676
板楼,南北,群力新区,高楼层,招商贝肯山,25,1.02101E+11,3室2厅,380,道里,精装,176,否,否,21591
板塔结合,南北,爱建,低楼层,上实浪琴水岸,28,1.02104E+11,3室1厅,380,道里,其他,194,否,否,19588
板楼,南北,群力新区,低楼层,恒盛豪庭,32,1.02102E+11,4室2厅,380,道里,精装,202.9,否,否,18724
板塔结合,东南北,中央大街,高楼层,丽水华庭,16,1.02104E+11,3室1厅,380,道里,精装,207,否,否,18358
板楼,南西北,群力新区,中楼层,星光耀广场,29,1.02103E+11,4室2厅,380,道里,毛坯,248,否,否,15323
板楼,南北,兆麟校,低楼层,宝宇天邑澜湾,32,1.02101E+11,3室2厅,376,道外,精装,213,否,否,17653
板楼,南北,省医院商圈,低楼层,四季上东三期,36,1.02104E+11,3室1厅,375,香坊,精装,134,否,否,27986
板楼,南北,群力新区,低楼层,群力新城北区,28,1.02104E+11,4室2厅,375,道里,精装,203.8,否,否,18397
板楼,南北,群力新区,中楼层,群力新城北区,24,1.02104E+11,3室2厅,375,道里,其他,205,否,否,18293
板楼,南北,爱建,低楼层,梧桐花园,31,1.02103E+11,4室1厅,375,道里,简装,241,否,否,15561
板楼,南北,公路大桥,高楼层,宝宇凯旋城二期,23,1.02104E+11,4室4厅,375,道里,毛坯,358,否,否,10475
板楼,南北,群力新区,高楼层,汇锦庄园,31,1.02104E+11,3室2厅,372,道里,精装,177.9,否,否,20916
板楼,南,建国公园,低楼层,正阳花园,7,1.02104E+11,1室1厅,370,道里,简装,93.9,否,否,39392
板楼,南北,南岗会展商圈,中楼层,善上居,32,1.02103E+11,3室2厅,370,香坊,精装,145.9,否,否,25360
板楼,南北,工农大街,低楼层,上和园著,6,1.02104E+11,3室2厅,370,道里,其他,156,否,否,23718
板楼,南北,群力新区,低楼层,富力江湾新城,29,1.02102E+11,4室2厅,370,道里,精装,173.8,否,否,21287
板楼,南北,群力新区,低楼层,恒大天地人和,6,1.02104E+11,3室2厅,370,道里,其他,176,否,否,21023
板楼,南北西,工农大街,高楼层,玫瑰湾小区西区,18,1.02102E+11,4室3厅,370,道里,精装,197,否,否,18782
