,0,1,2,3,4,5,6,7,8,9,10,11,12,13
39,板楼,西南,公路大桥,8,河广街,102103245587 ,1室1厅,27,道里,简装,35,否,否,9000 
40,板楼,南北,群力新区,18,塞纳阳光,102101459327 ,2室1厅,110,道里,精装,108,否,否,36667 
41,板楼,西,顾乡大街,8,都市秀景,102102788710 ,2室1厅,52.5,道里,简装,55,否,否,17500 
42,板楼,东西,安字片,7,安丰街,102102213120 ,2室1厅,40,道里,简装,54,否,否,13333 
43,板楼,西,兆麟校,16,金安美豪国际公寓,102103704366 ,1室0厅,53,道里,精装,47,否,否,17667 
44,板楼,东,团结萧红校哈站北秀宾馆,9,霁虹街,102102903072 ,1室0厅,24,道里,简装,35,否,否,8000 
45,板楼,东西,南岗会展商圈,7,泰海花园小区,102104061250 ,2室1厅,154,南岗,简装,116,否,否,51333 
46,板楼,西南,哈西商圈,26,汇龙北纬45度,102104089016 ,2室1厅,137.8,南岗,精装,79,否,否,45933 
47,板楼,东南,哈特百脑汇教化工大,8,上夹树街,102104080403 ,2室1厅,58.8,南岗,精装,43,是,否,19600 
48,板楼,东西,仪兴商圈,26,金洋馨园,102104081022 ,2室1厅,188,南岗,精装,131,否,否,62667 
49,板楼,东西,龙塔,8,南航花园,102104091354 ,2室1厅,130,南岗,简装,122,否,否,43333 
50,板楼,东西,哈南商圈,26,英伦名邸,102104040533 ,2室1厅,129,南岗,精装,119,否,否,43000 
51,板楼,南北西,哈西商圈,7,阳光家园一期,102104011879 ,2室2厅,81,南岗,精装,84,否,否,27000 
52,板楼,南北,哈西商圈,7,科大安居小区,102104020711 ,2室1厅,48.8,南岗,简装,58,否,否,16267 
53,板楼,东西,师大附小沙曼小区,8,振兴街,102104087318 ,2室1厅,158,南岗,其他,70,否,否,52667 
54,板楼,西南东北,海城市场商圈,8,联部街,102104088739 ,1室1厅,22,南岗,其他,36,否,否,7333 
55,板楼,南北,哈南商圈,15,哈南福地小区,102104056287 ,2室1厅,81,南岗,简装,93,否,否,27000 
56,板楼,东西,花园铁岭继红校,8,阿什河街,102104022263 ,2室1厅,223,南岗,简装,77,是,否,74333 
57,板楼,南北,南岗会展商圈,8,红旗示范新区,102104086331 ,2室1厅,75,南岗,简装,49,否,否,25000 
58,板楼,东西,船舶军工,8,文化家园,102104090218 ,1室1厅,63,南岗,简装,58,否,否,21000 
59,板楼,西东,宣西宣庆体院,7,宣西小区,102104087378 ,2室1厅,43,南岗,精装,48,否,否,14333 
60,板楼,南北,花园铁岭继红校,7,吉林街,102104038765 ,3室2厅,175,南岗,精装,109,是,否,58333 
61,板楼,南北西,哈特百脑汇教化工大,8,下夹树街,102104082098 ,2室1厅,67.8,南岗,精装,70,是,否,22600 
62,板楼,南,哈西商圈,6,农建新苑,102104091609 ,1室1厅,30,南岗,精装,42,否,否,10000 
63,暂无数据,南,团结萧红校哈站北秀宾馆,7,建筑街,102104088108 ,1室1厅,40,南岗,简装,42,是,否,13333 
64,板楼,南北,西大桥商圈,7,四明街,102104037320 ,2室1厅,76.8,南岗,简装,59,否,否,25600 
65,板楼,南北,宣西宣庆体院,8,十字街,102104036634 ,2室1厅,65,南岗,精装,67,否,否,21667 
66,板楼,南北,哈南商圈,28,城发三环信息苑,102104040680 ,2室1厅,85,南岗,精装,84,否,否,28333 
67,板楼,东,师大附小沙曼小区,44,清滨花园,102104080343 ,2室1厅,300,南岗,精装,125,否,否,100000 
68,板塔结合,东南,海城市场商圈,32,工大左岸,102104068628 ,1室1厅,90,南岗,简装,51,否,否,30000 
69,板楼,东北,哈西商圈,8,鸿朗花园北区,102104064597 ,1室1厅,65,南岗,精装,60,是,否,21667 
70,板楼,南西,团结萧红校哈站北秀宾馆,7,工程师街,102104045536 ,2室1厅,44.8,南岗,简装,52,是,否,14933 
71,板塔结合,南,哈西商圈,32,恒祥首府,102104049762 ,1室1厅,130,南岗,精装,83,否,否,43333 
72,板楼,西南,南岗分局十三中,23,先锋领地,102104057741 ,2室1厅,150,南岗,精装,103,否,否,50000 
73,板楼,东,花园铁岭继红校,8,辽阳街,102104009614 ,1室0厅,42,南岗,简装,33,是,否,14000 
74,板楼,南北,革新教堂,8,巴陵街,102104037966 ,2室1厅,34,南岗,简装,40,否,否,11333 
75,板塔结合,南北,群力新区,7,河梁小区,102104140521 ,3室1厅,72,巴彦区,其他,82,否,否,24000 
76,板楼,南北,王岗商圈,11,旗凯丽园,102104114015 ,2室1厅,75,巴彦区,精装,92,否,否,25000 
77,板楼,东,西大桥商圈,6,木兰小区（七政街）,102104139148 ,1室1厅,38,巴彦区,其他,15,否,否,12667 
78,板楼,西南,顾乡凯德广场,7,清河湾小区,102104137341 ,1室1厅,54.8,巴彦区,其他,75,否,否,18267 
79,板楼,南北,阿城商圈,7,党校楼,102104141115 ,2室1厅,23,巴彦区,其他,66,否,否,7667 
80,暂无数据,南北,平房商圈,7,東昇家園,102104074311 ,2室1厅,42,巴彦区,其他,85,否,否,14000 
81,板楼,南北,宣西宣庆体院,6,宣文街,102104039507 ,2室0厅,36,巴彦区,其他,53,否,否,12000 
82,板楼,南,动力区,8,联草街社区,102104063592 ,1室0厅,19.9,巴彦区,其他,31,否,否,6633 
83,板楼,南北,松北世贸大道,32,北岸明珠,102104040462 ,2室1厅,145,巴彦区,精装,111,否,否,48333 
84,板楼,东西,新发小区大润发,8,新发小区F区,102104080964 ,2室1厅,47,巴彦区,其他,52,否,否,15667 
85,板楼,南北,群力新区,24,雨阳名居,102104082177 ,2室2厅,180,巴彦区,其他,122,否,否,60000 
86,板塔结合,南,阿城商圈,5,清真体改委西区,102104003923 ,1室1厅,20.8,巴彦区,其他,56,否,否,6933 
87,板楼,南北,群力新区,34,中海寰宇天下,102104078475 ,2室1厅,150,巴彦区,简装,100,否,否,50000 
88,板楼,东,阿城商圈,6,绿波华园,102104056895 ,2室1厅,33,巴彦区,其他,65,否,否,11000 
89,板楼,南北,西大桥商圈,7,汉林美苑,102104083087 ,2室1厅,138,巴彦区,其他,78,否,否,46000 
90,板塔结合,南北,阿城商圈,19,祥和轩B区,102104058450 ,2室1厅,52,巴彦区,其他,100,否,否,17333 
91,板楼,南北,阿城商圈,8,和平小区(阿城区),102104015697 ,2室1厅,35,巴彦区,其他,79,否,否,11667 
92,板楼,西,西大桥商圈,8,元士街,102104069790 ,1室1厅,65,巴彦区,其他,36,否,否,21667 
93,板楼,南,松北世贸大道,32,玉龙湾,102104089635 ,1室1厅,103,巴彦区,其他,75,否,否,34333 
94,板楼,东,师大附小沙曼小区,7,水院小区,102104073023 ,1室0厅,120,巴彦区,其他,36,否,否,40000 
95,板楼,南北,哈西商圈,17,辰能·溪树庭院南区,102104059075 ,4室2厅,365,巴彦区,精装,181,是,否,121667 
96,板楼,西,哈东站商圈,32,北树嘉园,102104053348 ,2室1厅,35,巴彦区,其他,64,是,否,11667 
97,板楼,南北,动力区,6,星光家属小区(进乡街),102104040247 ,2室1厅,34.8,巴彦区,其他,60,否,否,11600 
98,板楼,南,阿城商圈,17,新龙城·金榜园,102104038492 ,2室1厅,42,巴彦区,其他,74,否,否,14000 
99,板楼,南,尚志公园,8,香影胡同,102104049083 ,2室1厅,69.8,巴彦区,简装,84,否,否,23267 
100,板楼,南北,松北世贸大道,33,万达华园,102104026865 ,3室2厅,152,巴彦区,毛坯,134,否,否,50667 
101,平房,南,阿城商圈,7,体东名城,102104032616 ,2室1厅,43,巴彦区,其他,78,否,否,14333 
102,板楼,南北,西大桥商圈,6,清明四道街,102104094854 ,3室1厅,29,巴彦区,其他,64,否,否,9667 
103,板楼,西南,师大附小沙曼小区,29,师大艺术产业园,102104098318 ,2室1厅,180,巴彦区,其他,71,否,否,60000 
104,板楼,南北,团结萧红校哈站北秀宾馆,7,满洲里街,102104097736 ,3室1厅,140,巴彦区,其他,141,是,否,46667 
105,板楼,南北,兆麟校,39,宝宇天邑澜山,102103764449 ,2室1厅,280,道外,精装,116,否,否,93333 
106,板楼,南北,船舶军工,8,大方里小区,102102298365 ,2室1厅,60,道外,简装,71,否,否,20000 
107,板楼,南北,南岗会展商圈,7,会展家园小区,102102556577 ,3室1厅,158,道外,精装,158,否,否,52667 
108,板楼,东西,太古商圈,7,太古新天地,102102619140 ,2室1厅,26,道外,简装,42,否,否,8667 
109,板楼,南西北,太平商圈,7,维也纳河畔新城,102102623973 ,3室1厅,98.6,道外,简装,105,是,否,32867 
110,板楼,南北,先锋路商圈,17,尚东辉煌城,102103794573 ,3室2厅,104.8,道外,毛坯,131,否,否,34933 
111,板楼,南北,兆麟校,8,大新街,102103342486 ,3室1厅,88,道外,简装,100,否,否,29333 
112,板楼,南北,阿拉伯广场,9,北十二道街,102102791435 ,3室1厅,79.8,道外,精装,132,否,否,26600 
113,板楼,南西北,玛克威,8,竹林小区,102102173376 ,3室1厅,95,道外,精装,140,否,否,31667 
114,板楼,南北,南岗会展商圈,20,金色莱茵,102101695562 ,3室1厅,190,道外,精装,210,否,否,63333 
115,板楼,南北西,靖宇公园,25,江尚逸品,102102552798 ,3室1厅,134,道外,精装,127,否,否,44667 
116,板楼,南北,南岗会展商圈,7,拉林新村,102102137003 ,2室1厅,58,道外,精装,70,否,否,19333 
117,板楼,东南西,玛克威,31,滨江新城好民居,102102549469 ,3室1厅,130,道外,精装,121,否,否,43333 
118,板楼,东北,先锋路商圈,7,报达文化商住小区,102103700363 ,3室1厅,94,道外,简装,120,否,否,31333 
119,板楼,南北,哈东站商圈,5,卫星住宅小区,102103578685 ,3室1厅,130,道外,简装,160,是,否,43333 
120,板楼,东西,太平商圈,7,松电小区,102103564406 ,3室1厅,97,道外,简装,120,是,否,32333 
121,板楼,东西,兆麟校,7,同发头道街,102103739846 ,2室1厅,96,道外,简装,126,否,否,32000 
122,板楼,东西,阿拉伯广场,7,南十二道街,102102795093 ,2室1厅,39.5,道外,简装,64,否,否,13167 
123,板楼,东西,玛克威,8,尚朴街,102102849324 ,2室2厅,74.7,道外,精装,106,否,否,24900 
124,板楼,东西,南岗会展商圈,7,拉林新村,102102561517 ,3室1厅,118,道外,简装,122,否,否,39333 
125,板楼,南北,南十四道街商圈,7,保障街,102102077301 ,2室1厅,35.5,道外,简装,62,否,否,11833 
126,板楼,南北,哈东站商圈,8,水利小区(道外区),102103225945 ,2室2厅,105,道外,精装,115,是,否,35000 
127,板楼,南西北,太平商圈,7,黎华小区,102101769399 ,3室1厅,152,道外,精装,220,是,否,50667 
128,板楼,南北,先锋路商圈,32,远大中央公园,102103238924 ,3室1厅,230,道外,简装,159,否,否,76667 
129,板楼,南北,先锋路商圈,30,长江小区,102103819689 ,2室1厅,62.7,道外,简装,81,否,否,20900 
130,板楼,南北,哈东站商圈,11,东都公元,102102536891 ,3室2厅,98,道外,简装,144,否,否,32667 
131,板楼,南北,农大商圈,33,嘉兴闽江国际,102101845187 ,3室1厅,176,道外,精装,143,否,否,58667 
132,板楼,东西,阿拉伯广场,17,北兴教育园B区,102103301823 ,3室3厅,170,道外,精装,170,否,否,56667 
133,板楼,东西,南十四道街商圈,8,滨江街,102102739944 ,2室1厅,61.5,道外,简装,96,否,否,20500 
134,板楼,南北,南岗会展商圈,7,会展家园小区,102103322217 ,3室1厅,51,道外,简装,81,否,否,17000 
135,板楼,东南,菜艺商圈,7,三辅街,102103074369 ,2室1厅,67.8,香坊,简装,103,否,否,22600 
136,板楼,南北,永泰商圈,16,东升嘉園,102101257708 ,3室2厅,98,香坊,简装,110,否,否,32667 
137,板楼,南西,尚志公园,7,珑瑞小区,102103301262 ,3室2厅,88.8,香坊,简装,156,否,否,29600 
138,板楼,南北,省医院商圈,7,亚麻小区,102103623463 ,2室1厅,115,香坊,简装,64,否,否,38333 
139,板楼,南北,菜艺商圈,7,红旗大街,102103350439 ,3室1厅,62,香坊,精装,85,否,否,20667 
140,板楼,东西,省医院商圈,7,亚麻街,102103530647 ,2室1厅,180,香坊,精装,123,否,否,60000 
141,板楼,南北,菜艺商圈,7,菜艺小区,102102919418 ,2室1厅,62,香坊,简装,91,否,否,20667 
142,板楼,南北,动力区,7,立汇美罗湾,102103325255 ,3室2厅,120,香坊,精装,146,否,否,40000 
143,板楼,西东,菜艺商圈,1,五叙街,102102750946 ,3室1厅,168,香坊,简装,100,否,否,56000 
144,板楼,南北,菜艺商圈,7,军转小区,102102262605 ,3室1厅,130,香坊,精装,166,否,否,43333 
145,板楼,南北,安埠商圈,32,罗马公元,102102154472 ,2室1厅,127,香坊,精装,105,否,否,42333 
146,板楼,东西,菜艺商圈,7,军转小区,102102505393 ,3室1厅,65,香坊,简装,117,否,否,21667 
147,板楼,南北,动力区,7,海富漫香林,102103851366 ,7室2厅,198,香坊,精装,148,否,否,66000 
148,板塔结合,南北,动力区,7,海富山水文园二期,102103758569 ,3室2厅,169,香坊,精装,138,否,否,56333 
149,板楼,东南,动力区,7,旭升家园,102103870762 ,3室2厅,110,香坊,精装,120,否,否,36667 
150,板楼,南北,动力区,17,海富漫香林,102102559913 ,3室2厅,165,香坊,精装,149,否,否,55000 
151,板塔结合,南北,动力区,7,海富山水文園一期,102102564499 ,3室2厅,125,香坊,精装,138,否,否,41667 
152,板楼,西,龙塔,26,华彩艺邻,102102605374 ,2室1厅,130,香坊,精装,110,否,否,43333 
153,暂无数据,南北,菜艺商圈,7,六顺街,102103501920 ,3室1厅,88,香坊,简装,102,否,否,29333 
154,板楼,南北,动力区,7,立汇美罗湾,102103838376 ,3室2厅,139.8,香坊,精装,160,否,否,46600 
155,板楼,南,安埠商圈,17,延福街,102101402702 ,2室1厅,120,香坊,精装,104,否,否,40000 
156,板楼,南北,动力区,7,远大都市绿洲二期,102102884283 ,3室1厅,62.6,香坊,精装,96,否,否,20867 
157,板楼,南北,动力区,7,海富漫香林,102102564487 ,3室2厅,165,香坊,精装,148,否,否,55000 
158,板楼,东西,菜艺商圈,8,司徒街,102102662505 ,2室1厅,65.8,香坊,简装,74,否,否,21933 
159,板塔结合,东西,动力区,16,海富山水文園一期,102103398371 ,3室2厅,156,香坊,精装,161,否,否,52000 
160,塔楼,东西,省医院商圈,33,恒祥中山,102103096069 ,2室1厅,105,香坊,精装,70,否,否,35000 
161,板楼,南北,动力区,26,恒大御景湾,102103331203 ,3室1厅,178,香坊,精装,132,否,否,59333 
162,板塔结合,东南,菜艺商圈,19,开运花园,102103360564 ,2室1厅,157,香坊,其他,135,否,否,52333 
163,板楼,东西,省医院商圈,7,绿园小区,102103347799 ,2室1厅,110,香坊,简装,75,否,否,36667 
164,板楼,南北,万达商圈,12,民航路,102102562485 ,3室1厅,228,香坊,精装,162,否,否,76000 
165,板塔结合,东南北,动力区,7,海富山水文园二期,102102564326 ,3室1厅,105,香坊,精装,100,否,否,35000 
166,板楼,东西,省医院商圈,7,民香小区,102103445731 ,2室1厅,129,香坊,精装,121,否,否,43000 
167,板楼,南北,动力区,7,电塔小区,102102963476 ,2室1厅,52,香坊,精装,56,否,否,17333 
168,塔楼,东南北,动力区,7,乐强小区,102103649422 ,3室1厅,105,香坊,简装,118,否,否,35000 
169,板楼,南北,菜艺商圈,7,三辅街,102103629176 ,3室1厅,70,香坊,简装,82,否,否,23333 
170,板楼,南北,安埠商圈,32,罗马公元,102103651610 ,2室1厅,125.8,香坊,简装,105,否,否,41933 
171,板楼,南北,永泰商圈,34,永泰城,102103521708 ,3室2厅,125,香坊,精装,122,否,否,41667 
172,板楼,南北,动力区,8,海顺新苑,102102559364 ,3室2厅,128,香坊,其他,146,否,否,42667 
173,板楼,西南,永泰商圈,45,新松·茂樾山,102103574766 ,2室1厅,75,香坊,精装,90,否,否,25000 
174,板楼,南北,省医院商圈,7,民香小区,102103874310 ,2室2厅,165,香坊,精装,137,否,否,55000 
175,板楼,东西北,省医院商圈,7,绿园小区,102103881369 ,3室1厅,175,香坊,精装,142,否,否,58333 
176,板楼,西北,动力区,16,幸福里小区,102101278558 ,2室1厅,67,香坊,精装,79,否,否,22333 
177,板楼,东西,省医院商圈,7,哈量新区,102102562398 ,2室1厅,89.8,香坊,简装,81,否,否,29933 
178,板楼,南北,菜艺商圈,8,司徒街,102102507791 ,3室2厅,95,香坊,简装,150,否,否,31667 
179,板楼,南西北,动力区,18,绿海华庭,102102559903 ,3室2厅,129,香坊,精装,134,否,否,43000 
180,板楼,南,菜艺商圈,7,司徒街,102101497248 ,2室1厅,34,香坊,简装,60,否,否,11333 
181,板楼,南北,菜艺商圈,7,三辅街,102102081899 ,2室1厅,31,香坊,简装,60,否,否,10333 
182,板楼,东南西,动力区,18,海富漫香林,102102564644 ,3室2厅,137.8,香坊,精装,131,否,否,45933 
183,板楼,南,菜艺商圈,8,司徒街,102102849477 ,2室1厅,37,香坊,简装,54,否,否,12333 
184,板楼,南北,省医院商圈,7,西骑兵街,102103590987 ,2室1厅,83,香坊,精装,83,否,否,27667 
185,暂无数据,东,菜艺商圈,6,菜艺街,102102079305 ,2室1厅,32.8,香坊,精装,56,否,否,10933 
186,板楼,东西,省医院商圈,3,民香小区,102101429181 ,2室1厅,85,香坊,简装,72,否,否,28333 
187,板楼,南北,省医院商圈,7,民香小区,102103049444 ,3室1厅,145,香坊,精装,108,否,否,48333 
188,板楼,南北,动力区,7,菜站小区,102103090666 ,3室2厅,102,香坊,精装,169,否,否,34000 
189,板楼,南西北,农大商圈,27,睿城,102102004752 ,3室1厅,126,香坊,精装,120,否,否,42000 
190,板楼,东西,动力区,8,富江家园,102102212290 ,2室1厅,102,香坊,简装,109,否,否,34000 
191,板塔结合,南北,南岗会展商圈,7,珠江俊景,102101491487 ,3室2厅,82.6,香坊,简装,142,否,否,27533 
192,板楼,南北,南岗会展商圈,32,善上居,102103041270 ,3室1厅,275,香坊,简装,144,否,否,91667 
194,板楼,北,菜艺商圈,47,中山国际,102103910639 ,2室1厅,189,香坊,其他,115,否,否,63000 
195,板楼,南,省医院商圈,7,绿园小区,102102269065 ,2室1厅,138,香坊,简装,103,否,否,46000 
196,板楼,东西,安埠商圈,8,通天街,102101978297 ,2室1厅,54.8,香坊,精装,68,否,否,18267 
197,板楼,南北,菜艺商圈,5,民建巷,102103691490 ,2室1厅,44.5,香坊,简装,59,否,否,14833 
201,板楼,南北,南岗会展商圈,24,优度社区,102103897550 ,3室2厅,216,香坊,精装,150,否,否,72000 
202,板楼,南北,省医院商圈,8,西骑兵街,102102874587 ,2室1厅,91.8,香坊,精装,103,否,否,30600 
204,板楼,东西,菜艺商圈,8,三辅二道街,102103004845 ,2室1厅,25.8,香坊,简装,47,否,否,8600 
205,塔楼,南北,动力区,8,乐强小区,102103069006 ,3室1厅,128,香坊,简装,152,否,否,42667 
208,板楼,南北,省医院商圈,7,哈量新区,102103286661 ,2室1厅,85,香坊,精装,92,否,否,28333 
211,板楼,南北,南岗会展商圈,8,科技公寓,102103712593 ,3室2厅,88,香坊,简装,150,否,否,29333 
212,板塔结合,南北,动力区,7,海富山水文园二期,102103522454 ,3室2厅,158,香坊,简装,131,否,否,52667 
213,板塔结合,南北,动力区,7,海富山水文园二期,102103782681 ,3室2厅,123,香坊,精装,135,否,否,41000 
214,暂无数据,东南北,动力区,18,远大都市绿洲二期,102102417168 ,3室1厅,215,香坊,精装,185,否,否,71667 
215,暂无数据,南北,动力区,7,幸福家园(香坊区),102101952825 ,2室1厅,120,香坊,精装,128,否,否,40000 
216,板楼,南北,安埠商圈,33,龙跃金水湾,102102264418 ,3室1厅,125,香坊,精装,104,否,否,41667 
217,板楼,西北,尚志公园,7,珑瑞小区,102103754880 ,3室1厅,180,香坊,精装,187,否,否,60000 
218,板楼,南北,文政新区商圈,5,文治三道街,102103009473 ,2室1厅,58,香坊,简装,51,否,否,19333 
219,板楼,南北,动力区,7,海富漫香林,102103525750 ,2室1厅,134,香坊,精装,100,否,否,44667 
220,板楼,南北,菜艺商圈,5,红旗大街,102103638405 ,3室1厅,100,香坊,简装,101,否,否,33333 
221,板楼,南,南岗会展商圈,9,建北街,102103840657 ,2室1厅,63,香坊,简装,90,否,否,21000 
222,板楼,南北,文政新区商圈,7,王兆新村,102102906259 ,3室1厅,75,香坊,简装,73,否,否,25000 
227,板楼,南北,南岗会展商圈,32,善上居,102103778779 ,3室2厅,240,香坊,精装,146,否,否,80000 
229,板楼,南北,动力区,6,绿海华庭,102103322383 ,3室1厅,115,香坊,精装,108,否,否,38333 
231,板楼,南北,动力区,12,美罗湾二期,102102713744 ,3室2厅,105,香坊,精装,133,否,否,35000 
232,暂无数据,南北,菜艺商圈,4,八栋楼小区,102103563738 ,3室1厅,125,香坊,精装,128,否,否,41667 
233,板楼,南西北,龙塔,7,珠江路,102102878026 ,3室1厅,69.9,香坊,简装,88,否,否,23300 
234,板楼,南北,省医院商圈,30,四季上东一期,102101992365 ,3室3厅,420,香坊,精装,243,否,否,140000 
235,板楼,南北,菜艺商圈,7,珠江小区,102103366938 ,3室1厅,67,香坊,简装,124,否,否,22333 
236,平房,南北,文政新区商圈,19,文政雅居,102103707757 ,2室1厅,125,香坊,简装,93,否,否,41667 
237,板楼,南北,文政新区商圈,9,文政新区,102101633146 ,3室1厅,85,香坊,精装,112,否,否,28333 
238,板楼,南,动力区,19,阳光绿景,102102207819 ,2室1厅,104.5,香坊,精装,97,否,否,34833 
239,板塔结合,南北,菜艺商圈,8,香安名苑,102102558293 ,3室2厅,118,香坊,简装,139,否,否,39333 
240,板楼,南北,菜艺商圈,7,香顺街,102102945699 ,3室1厅,90,香坊,其他,100,否,否,30000 
241,板楼,东西,菜艺商圈,8,民建巷,102103590896 ,2室1厅,59,香坊,简装,102,否,否,19667 
242,板楼,南北,尚志公园,8,消防胡同,102103531175 ,3室1厅,68.5,香坊,简装,105,否,否,22833 
249,板楼,东南北,动力区,7,美罗湾三期,102101918685 ,3室1厅,93.8,香坊,精装,113,否,否,31267 
250,板楼,南北,省医院商圈,7,金房小区,102103107399 ,2室2厅,155,香坊,精装,119,否,否,51667 
251,塔楼,南西北,动力区,19,远大都市绿洲二期,102102564631 ,3室2厅,175,香坊,精装,177,否,否,58333 
252,板楼,南北,尚志公园,7,珑瑞小区,102102557509 ,2室1厅,95,香坊,简装,132,否,否,31667 
258,板楼,南北,动力区,6,大庆副路,102102567966 ,3室1厅,139.8,香坊,简装,155,否,否,46600 
259,板楼,南北,尚志公园,7,白毛小区,102102557395 ,3室1厅,63.8,香坊,简装,69,否,否,21267 
261,板塔结合,南北,安埠商圈,8,果园星城B区,102103056228 ,3室1厅,135,香坊,简装,165,否,否,45000 
266,塔楼,东西北,动力区,8,乐强小区,102101534113 ,3室1厅,90,香坊,简装,127,否,否,30000 
267,板楼,东西,省医院商圈,8,民香小区,102101518568 ,2室1厅,140,香坊,简装,135,否,否,46667 
270,板楼,南北,菜艺商圈,8,司徒街,102103344581 ,3室1厅,53,香坊,简装,87,否,否,17667 
274,板楼,东西,动力区,25,恒大御景湾,102103391602 ,3室1厅,117,香坊,精装,91,否,否,39000 
275,板塔结合,南北,动力区,20,玉翠秀府,102103290752 ,2室2厅,83,香坊,精装,65,否,否,27667 
281,板楼,南北,阿城商圈,17,金都幸福里,102104117602 ,2室1厅,56,阿城区,其他,108,否,否,18667 
282,板楼,南北,阿城商圈,6,学府小区(阿城区),102104098316 ,2室1厅,43,阿城区,其他,83,否,否,14333 
283,板楼,东南北,阿城商圈,15,满族村小区,102104122547 ,2室2厅,60,阿城区,其他,109,否,否,20000 
