Construction,Direction,District,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Subway,Taxfree,UnitPrice
板楼,南,公路大桥,8,哈药路,102103090799,1室1厅,20.8,道里,简装,31.0,否,否,8
板楼,西南,公路大桥,8,河广街,102103245587,1室1厅,27,道里,简装,35.0,否,否,8
板楼,南北,群力新区,18,塞纳阳光,102101459327,2室1厅,110,道里,精装,108.0,否,否,18
板楼,西,顾乡大街,8,都市秀景,102102788710,2室1厅,52.5,道里,简装,55.0,否,否,8
板楼,东西,安字片,7,安丰街,102102213120,2室1厅,40,道里,简装,54.0,否,否,7
板楼,西,兆麟校,16,金安美豪国际公寓,102103704366,1室0厅,53,道里,精装,47.0,否,否,16
板楼,东,团结萧红校哈站北秀宾馆,9,霁虹街,102102903072,1室0厅,24,道里,简装,35.0,否,否,9
板楼,东西,南岗会展商圈,7,泰海花园小区,102104061250,2室1厅,154,南岗,简装,116.0,否,否,7
板楼,西南,哈西商圈,26,汇龙北纬45度,102104089016,2室1厅,137.8,南岗,精装,79.0,否,否,26
板楼,东南,哈特百脑汇教化工大,8,上夹树街,102104080403,2室1厅,58.8,南岗,精装,43.0,是,否,8
板楼,东西,仪兴商圈,26,金洋馨园,102104081022,2室1厅,188,南岗,精装,131.0,否,否,26
板楼,东西,龙塔,8,南航花园,102104091354,2室1厅,130,南岗,简装,122.0,否,否,8
板楼,东西,哈南商圈,26,英伦名邸,102104040533,2室1厅,129,南岗,精装,119.0,否,否,26
板楼,南北西,哈西商圈,7,阳光家园一期,102104011879,2室2厅,81,南岗,精装,84.0,否,否,7
板楼,南北,哈西商圈,7,科大安居小区,102104020711,2室1厅,48.8,南岗,简装,58.0,否,否,7
板楼,东西,师大附小沙曼小区,8,振兴街,102104087318,2室1厅,158,南岗,其他,70.0,否,否,8
板楼,西南东北,海城市场商圈,8,联部街,102104088739,1室1厅,22,南岗,其他,36.0,否,否,8
板楼,南北,哈南商圈,15,哈南福地小区,102104056287,2室1厅,81,南岗,简装,93.0,否,否,15
板楼,东西,花园铁岭继红校,8,阿什河街,102104022263,2室1厅,223,南岗,简装,77.0,是,否,8
板楼,南北,南岗会展商圈,8,红旗示范新区,102104086331,2室1厅,75,南岗,简装,49.0,否,否,8
板楼,东西,船舶军工,8,文化家园,102104090218,1室1厅,63,南岗,简装,58.0,否,否,8
板楼,西东,宣西宣庆体院,7,宣西小区,102104087378,2室1厅,43,南岗,精装,48.0,否,否,7
板楼,南北,花园铁岭继红校,7,吉林街,102104038765,3室2厅,175,南岗,精装,109.0,是,否,7
板楼,南北西,哈特百脑汇教化工大,8,下夹树街,102104082098,2室1厅,67.8,南岗,精装,70.0,是,否,8
板楼,南,哈西商圈,6,农建新苑,102104091609,1室1厅,30,南岗,精装,42.0,否,否,6
暂无数据,南,团结萧红校哈站北秀宾馆,7,建筑街,102104088108,1室1厅,40,南岗,简装,42.0,是,否,7
板楼,南北,西大桥商圈,7,四明街,102104037320,2室1厅,76.8,南岗,简装,59.0,否,否,7
板楼,南北,宣西宣庆体院,8,十字街,102104036634,2室1厅,65,南岗,精装,67.0,否,否,8
板楼,南北,哈南商圈,28,城发三环信息苑,102104040680,2室1厅,85,南岗,精装,84.0,否,否,28
板楼,东,师大附小沙曼小区,44,清滨花园,102104080343,2室1厅,300,南岗,精装,125.0,否,否,44
板塔结合,东南,海城市场商圈,32,工大左岸,102104068628,1室1厅,90,南岗,简装,51.0,否,否,32
板楼,东北,哈西商圈,8,鸿朗花园北区,102104064597,1室1厅,65,南岗,精装,60.0,是,否,8
板楼,南西,团结萧红校哈站北秀宾馆,7,工程师街,102104045536,2室1厅,44.8,南岗,简装,52.0,是,否,7
板塔结合,南,哈西商圈,32,恒祥首府,102104049762,1室1厅,130,南岗,精装,83.0,否,否,32
板楼,西南,南岗分局十三中,23,先锋领地,102104057741,2室1厅,150,南岗,精装,103.0,否,否,23
板楼,东,花园铁岭继红校,8,辽阳街,102104009614,1室0厅,42,南岗,简装,33.0,是,否,8
板楼,南北,革新教堂,8,巴陵街,102104037966,2室1厅,34,南岗,简装,40.0,否,否,8
板塔结合,南北,群力新区,7,河梁小区,102104140521,3室1厅,72,巴彦区,其他,82.0,否,否,7
板楼,南北,王岗商圈,11,旗凯丽园,102104114015,2室1厅,75,巴彦区,精装,92.0,否,否,11
板楼,东,西大桥商圈,6,木兰小区（七政街）,102104139148,1室1厅,38,巴彦区,其他,15.0,否,否,6
板楼,西南,顾乡凯德广场,7,清河湾小区,102104137341,1室1厅,54.8,巴彦区,其他,75.0,否,否,7
板楼,南北,阿城商圈,7,党校楼,102104141115,2室1厅,23,巴彦区,其他,66.0,否,否,7
暂无数据,南北,平房商圈,7,東昇家園,102104074311,2室1厅,42,巴彦区,其他,85.0,否,否,7
板楼,南北,宣西宣庆体院,6,宣文街,102104039507,2室0厅,36,巴彦区,其他,53.0,否,否,6
板楼,南,动力区,8,联草街社区,102104063592,1室0厅,19.9,巴彦区,其他,31.0,否,否,8
板楼,南北,松北世贸大道,32,北岸明珠,102104040462,2室1厅,145,巴彦区,精装,111.0,否,否,32
板楼,东西,新发小区大润发,8,新发小区F区,102104080964,2室1厅,47,巴彦区,其他,52.0,否,否,8
板楼,南北,群力新区,24,雨阳名居,102104082177,2室2厅,180,巴彦区,其他,122.0,否,否,24
板塔结合,南,阿城商圈,5,清真体改委西区,102104003923,1室1厅,20.8,巴彦区,其他,56.0,否,否,5
板楼,南北,群力新区,34,中海寰宇天下,102104078475,2室1厅,150,巴彦区,简装,100.0,否,否,34
板楼,东,阿城商圈,6,绿波华园,102104056895,2室1厅,33,巴彦区,其他,65.0,否,否,6
板楼,南北,西大桥商圈,7,汉林美苑,102104083087,2室1厅,138,巴彦区,其他,78.0,否,否,7
板塔结合,南北,阿城商圈,19,祥和轩B区,102104058450,2室1厅,52,巴彦区,其他,100.0,否,否,19
板楼,南北,阿城商圈,8,和平小区(阿城区),102104015697,2室1厅,35,巴彦区,其他,79.0,否,否,8
板楼,西,西大桥商圈,8,元士街,102104069790,1室1厅,65,巴彦区,其他,36.0,否,否,8
板楼,南,松北世贸大道,32,玉龙湾,102104089635,1室1厅,103,巴彦区,其他,75.0,否,否,32
板楼,东,师大附小沙曼小区,7,水院小区,102104073023,1室0厅,120,巴彦区,其他,36.0,否,否,7
板楼,南北,哈西商圈,17,辰能·溪树庭院南区,102104059075,4室2厅,365,巴彦区,精装,181.0,是,否,17
板楼,西,哈东站商圈,32,北树嘉园,102104053348,2室1厅,35,巴彦区,其他,64.0,是,否,32
板楼,南北,动力区,6,星光家属小区(进乡街),102104040247,2室1厅,34.8,巴彦区,其他,60.0,否,否,6
板楼,南,阿城商圈,17,新龙城·金榜园,102104038492,2室1厅,42,巴彦区,其他,74.0,否,否,17
板楼,南,尚志公园,8,香影胡同,102104049083,2室1厅,69.8,巴彦区,简装,84.0,否,否,8
板楼,南北,松北世贸大道,33,万达华园,102104026865,3室2厅,152,巴彦区,毛坯,134.0,否,否,33
平房,南,阿城商圈,7,体东名城,102104032616,2室1厅,43,巴彦区,其他,78.0,否,否,7
板楼,南北,西大桥商圈,6,清明四道街,102104094854,3室1厅,29,巴彦区,其他,64.0,否,否,6
板楼,西南,师大附小沙曼小区,29,师大艺术产业园,102104098318,2室1厅,180,巴彦区,其他,71.0,否,否,29
板楼,南北,团结萧红校哈站北秀宾馆,7,满洲里街,102104097736,3室1厅,140,巴彦区,其他,141.0,是,否,7
板楼,南北,兆麟校,39,宝宇天邑澜山,102103764449,2室1厅,280,道外,精装,116.0,否,否,39
板楼,南北,船舶军工,8,大方里小区,102102298365,2室1厅,60,道外,简装,71.0,否,否,8
板楼,南北,南岗会展商圈,7,会展家园小区,102102556577,3室1厅,158,道外,精装,158.0,否,否,7
板楼,东西,太古商圈,7,太古新天地,102102619140,2室1厅,26,道外,简装,42.0,否,否,7
板楼,南西北,太平商圈,7,维也纳河畔新城,102102623973,3室1厅,98.6,道外,简装,105.0,是,否,7
板楼,南北,先锋路商圈,17,尚东辉煌城,102103794573,3室2厅,104.8,道外,毛坯,131.0,否,否,17
板楼,南北,兆麟校,8,大新街,102103342486,3室1厅,88,道外,简装,100.0,否,否,8
板楼,南北,阿拉伯广场,9,北十二道街,102102791435,3室1厅,79.8,道外,精装,132.0,否,否,9
板楼,南西北,玛克威,8,竹林小区,102102173376,3室1厅,95,道外,精装,140.0,否,否,8
板楼,南北,南岗会展商圈,20,金色莱茵,102101695562,3室1厅,190,道外,精装,210.0,否,否,20
板楼,南北西,靖宇公园,25,江尚逸品,102102552798,3室1厅,134,道外,精装,127.0,否,否,25
板楼,南北,南岗会展商圈,7,拉林新村,102102137003,2室1厅,58,道外,精装,70.0,否,否,7
板楼,东南西,玛克威,31,滨江新城好民居,102102549469,3室1厅,130,道外,精装,121.0,否,否,31
板楼,东北,先锋路商圈,7,报达文化商住小区,102103700363,3室1厅,94,道外,简装,120.0,否,否,7
板楼,南北,哈东站商圈,5,卫星住宅小区,102103578685,3室1厅,130,道外,简装,160.0,是,否,5
板楼,东西,太平商圈,7,松电小区,102103564406,3室1厅,97,道外,简装,120.0,是,否,7
板楼,东西,兆麟校,7,同发头道街,102103739846,2室1厅,96,道外,简装,126.0,否,否,7
板楼,东西,阿拉伯广场,7,南十二道街,102102795093,2室1厅,39.5,道外,简装,64.0,否,否,7
板楼,东西,玛克威,8,尚朴街,102102849324,2室2厅,74.7,道外,精装,106.0,否,否,8
板楼,东西,南岗会展商圈,7,拉林新村,102102561517,3室1厅,118,道外,简装,122.0,否,否,7
板楼,南北,南十四道街商圈,7,保障街,102102077301,2室1厅,35.5,道外,简装,62.0,否,否,7
板楼,南北,哈东站商圈,8,水利小区(道外区),102103225945,2室2厅,105,道外,精装,115.0,是,否,8
板楼,南西北,太平商圈,7,黎华小区,102101769399,3室1厅,152,道外,精装,220.0,是,否,7
板楼,南北,先锋路商圈,32,远大中央公园,102103238924,3室1厅,230,道外,简装,159.0,否,否,32
板楼,南北,先锋路商圈,30,长江小区,102103819689,2室1厅,62.7,道外,简装,81.0,否,否,30
板楼,南北,哈东站商圈,11,东都公元,102102536891,3室2厅,98,道外,简装,144.0,否,否,11
板楼,南北,农大商圈,33,嘉兴闽江国际,102101845187,3室1厅,176,道外,精装,143.0,否,否,33
板楼,东西,阿拉伯广场,17,北兴教育园B区,102103301823,3室3厅,170,道外,精装,170.0,否,否,17
板楼,东西,南十四道街商圈,8,滨江街,102102739944,2室1厅,61.5,道外,简装,96.0,否,否,8
板楼,南北,南岗会展商圈,7,会展家园小区,102103322217,3室1厅,51,道外,简装,81.0,否,否,7
板楼,东南,菜艺商圈,7,三辅街,102103074369,2室1厅,67.8,香坊,简装,103.0,否,否,7
板楼,南北,永泰商圈,16,东升嘉園,102101257708,3室2厅,98,香坊,简装,110.0,否,否,16
板楼,南西,尚志公园,7,珑瑞小区,102103301262,3室2厅,88.8,香坊,简装,156.0,否,否,7
板楼,南北,省医院商圈,7,亚麻小区,102103623463,2室1厅,115,香坊,简装,64.0,否,否,7
板楼,南北,菜艺商圈,7,红旗大街,102103350439,3室1厅,62,香坊,精装,85.0,否,否,7
板楼,东西,省医院商圈,7,亚麻街,102103530647,2室1厅,180,香坊,精装,123.0,否,否,7
板楼,南北,菜艺商圈,7,菜艺小区,102102919418,2室1厅,62,香坊,简装,91.0,否,否,7
板楼,南北,动力区,7,立汇美罗湾,102103325255,3室2厅,120,香坊,精装,146.0,否,否,7
板楼,西东,菜艺商圈,1,五叙街,102102750946,3室1厅,168,香坊,简装,100.0,否,否,1
板楼,南北,菜艺商圈,7,军转小区,102102262605,3室1厅,130,香坊,精装,166.0,否,否,7
板楼,南北,安埠商圈,32,罗马公元,102102154472,2室1厅,127,香坊,精装,105.0,否,否,32
板楼,东西,菜艺商圈,7,军转小区,102102505393,3室1厅,65,香坊,简装,117.0,否,否,7
板楼,南北,动力区,7,海富漫香林,102103851366,7室2厅,198,香坊,精装,148.0,否,否,7
板塔结合,南北,动力区,7,海富山水文园二期,102103758569,3室2厅,169,香坊,精装,138.0,否,否,7
板楼,东南,动力区,7,旭升家园,102103870762,3室2厅,110,香坊,精装,120.0,否,否,7
板楼,南北,动力区,17,海富漫香林,102102559913,3室2厅,165,香坊,精装,149.0,否,否,17
板塔结合,南北,动力区,7,海富山水文園一期,102102564499,3室2厅,125,香坊,精装,138.0,否,否,7
板楼,西,龙塔,26,华彩艺邻,102102605374,2室1厅,130,香坊,精装,110.0,否,否,26
暂无数据,南北,菜艺商圈,7,六顺街,102103501920,3室1厅,88,香坊,简装,102.0,否,否,7
板楼,南北,动力区,7,立汇美罗湾,102103838376,3室2厅,139.8,香坊,精装,160.0,否,否,7
板楼,南,安埠商圈,17,延福街,102101402702,2室1厅,120,香坊,精装,104.0,否,否,17
板楼,南北,动力区,7,远大都市绿洲二期,102102884283,3室1厅,62.6,香坊,精装,96.0,否,否,7
板楼,南北,动力区,7,海富漫香林,102102564487,3室2厅,165,香坊,精装,148.0,否,否,7
板楼,东西,菜艺商圈,8,司徒街,102102662505,2室1厅,65.8,香坊,简装,74.0,否,否,8
板塔结合,东西,动力区,16,海富山水文園一期,102103398371,3室2厅,156,香坊,精装,161.0,否,否,16
塔楼,东西,省医院商圈,33,恒祥中山,102103096069,2室1厅,105,香坊,精装,70.0,否,否,33
板楼,南北,动力区,26,恒大御景湾,102103331203,3室1厅,178,香坊,精装,132.0,否,否,26
板塔结合,东南,菜艺商圈,19,开运花园,102103360564,2室1厅,157,香坊,其他,135.0,否,否,19
板楼,东西,省医院商圈,7,绿园小区,102103347799,2室1厅,110,香坊,简装,75.0,否,否,7
板楼,南北,万达商圈,12,民航路,102102562485,3室1厅,228,香坊,精装,162.0,否,否,12
板塔结合,东南北,动力区,7,海富山水文园二期,102102564326,3室1厅,105,香坊,精装,100.0,否,否,7
板楼,东西,省医院商圈,7,民香小区,102103445731,2室1厅,129,香坊,精装,121.0,否,否,7
板楼,南北,动力区,7,电塔小区,102102963476,2室1厅,52,香坊,精装,56.0,否,否,7
塔楼,东南北,动力区,7,乐强小区,102103649422,3室1厅,105,香坊,简装,118.0,否,否,7
板楼,南北,菜艺商圈,7,三辅街,102103629176,3室1厅,70,香坊,简装,82.0,否,否,7
板楼,南北,安埠商圈,32,罗马公元,102103651610,2室1厅,125.8,香坊,简装,105.0,否,否,32
板楼,南北,永泰商圈,34,永泰城,102103521708,3室2厅,125,香坊,精装,122.0,否,否,34
板楼,南北,动力区,8,海顺新苑,102102559364,3室2厅,128,香坊,其他,146.0,否,否,8
板楼,西南,永泰商圈,45,新松·茂樾山,102103574766,2室1厅,75,香坊,精装,90.0,否,否,45
板楼,南北,省医院商圈,7,民香小区,102103874310,2室2厅,165,香坊,精装,137.0,否,否,7
板楼,东西北,省医院商圈,7,绿园小区,102103881369,3室1厅,175,香坊,精装,142.0,否,否,7
板楼,西北,动力区,16,幸福里小区,102101278558,2室1厅,67,香坊,精装,79.0,否,否,16
板楼,东西,省医院商圈,7,哈量新区,102102562398,2室1厅,89.8,香坊,简装,81.0,否,否,7
板楼,南北,菜艺商圈,8,司徒街,102102507791,3室2厅,95,香坊,简装,150.0,否,否,8
板楼,南西北,动力区,18,绿海华庭,102102559903,3室2厅,129,香坊,精装,134.0,否,否,18
板楼,南,菜艺商圈,7,司徒街,102101497248,2室1厅,34,香坊,简装,60.0,否,否,7
板楼,南北,菜艺商圈,7,三辅街,102102081899,2室1厅,31,香坊,简装,60.0,否,否,7
板楼,东南西,动力区,18,海富漫香林,102102564644,3室2厅,137.8,香坊,精装,131.0,否,否,18
板楼,南,菜艺商圈,8,司徒街,102102849477,2室1厅,37,香坊,简装,54.0,否,否,8
板楼,南北,省医院商圈,7,西骑兵街,102103590987,2室1厅,83,香坊,精装,83.0,否,否,7
暂无数据,东,菜艺商圈,6,菜艺街,102102079305,2室1厅,32.8,香坊,精装,56.0,否,否,6
板楼,东西,省医院商圈,3,民香小区,102101429181,2室1厅,85,香坊,简装,72.0,否,否,3
板楼,南北,省医院商圈,7,民香小区,102103049444,3室1厅,145,香坊,精装,108.0,否,否,7
板楼,南北,动力区,7,菜站小区,102103090666,3室2厅,102,香坊,精装,169.0,否,否,7
板楼,南西北,农大商圈,27,睿城,102102004752,3室1厅,126,香坊,精装,120.0,否,否,27
板楼,东西,动力区,8,富江家园,102102212290,2室1厅,102,香坊,简装,109.0,否,否,8
板塔结合,南北,南岗会展商圈,7,珠江俊景,102101491487,3室2厅,82.6,香坊,简装,142.0,否,否,7
板楼,南北,南岗会展商圈,32,善上居,102103041270,3室1厅,275,香坊,简装,144.0,否,否,32
板楼,南,安埠商圈,17,延福街,102101402702,2室1厅,120,香坊,精装,104.0,否,否,17
板楼,北,菜艺商圈,47,中山国际,102103910639,2室1厅,189,香坊,其他,115.0,否,否,47
板楼,南,省医院商圈,7,绿园小区,102102269065,2室1厅,138,香坊,简装,103.0,否,否,7
板楼,东西,安埠商圈,8,通天街,102101978297,2室1厅,54.8,香坊,精装,68.0,否,否,8
板楼,南北,菜艺商圈,5,民建巷,102103691490,2室1厅,44.5,香坊,简装,59.0,否,否,5
板楼,南北,安埠商圈,32,罗马公元,102103651610,2室1厅,125.8,香坊,简装,105.0,否,否,32
板楼,南北,动力区,8,海顺新苑,102102559364,3室2厅,128,香坊,其他,146.0,否,否,8
板楼,南北,菜艺商圈,7,三辅街,102103629176,3室1厅,70,香坊,简装,82.0,否,否,7
板楼,南北,南岗会展商圈,24,优度社区,102103897550,3室2厅,216,香坊,精装,150.0,否,否,24
板楼,南北,省医院商圈,8,西骑兵街,102102874587,2室1厅,91.8,香坊,精装,103.0,否,否,8
板楼,南北,省医院商圈,7,民香小区,102103874310,2室2厅,165,香坊,精装,137.0,否,否,7
板楼,东西,菜艺商圈,8,三辅二道街,102103004845,2室1厅,25.8,香坊,简装,47.0,否,否,8
塔楼,南北,动力区,8,乐强小区,102103069006,3室1厅,128,香坊,简装,152.0,否,否,8
板楼,东西北,省医院商圈,7,绿园小区,102103881369,3室1厅,175,香坊,精装,142.0,否,否,7
暂无数据,东,菜艺商圈,6,菜艺街,102102079305,2室1厅,32.8,香坊,精装,56.0,否,否,6
板楼,南北,省医院商圈,7,哈量新区,102103286661,2室1厅,85,香坊,精装,92.0,否,否,7
板楼,南北,省医院商圈,7,西骑兵街,102103590987,2室1厅,83,香坊,精装,83.0,否,否,7
板楼,东西,省医院商圈,3,民香小区,102101429181,2室1厅,85,香坊,简装,72.0,否,否,3
板楼,南北,南岗会展商圈,8,科技公寓,102103712593,3室2厅,88,香坊,简装,150.0,否,否,8
板塔结合,南北,动力区,7,海富山水文园二期,102103522454,3室2厅,158,香坊,简装,131.0,否,否,7
板塔结合,南北,动力区,7,海富山水文园二期,102103782681,3室2厅,123,香坊,精装,135.0,否,否,7
暂无数据,东南北,动力区,18,远大都市绿洲二期,102102417168,3室1厅,215,香坊,精装,185.0,否,否,18
暂无数据,南北,动力区,7,幸福家园(香坊区),102101952825,2室1厅,120,香坊,精装,128.0,否,否,7
板楼,南北,安埠商圈,33,龙跃金水湾,102102264418,3室1厅,125,香坊,精装,104.0,否,否,33
板楼,西北,尚志公园,7,珑瑞小区,102103754880,3室1厅,180,香坊,精装,187.0,否,否,7
板楼,南北,文政新区商圈,5,文治三道街,102103009473,2室1厅,58,香坊,简装,51.0,否,否,5
板楼,南北,动力区,7,海富漫香林,102103525750,2室1厅,134,香坊,精装,100.0,否,否,7
板楼,南北,菜艺商圈,5,红旗大街,102103638405,3室1厅,100,香坊,简装,101.0,否,否,5
板楼,南,南岗会展商圈,9,建北街,102103840657,2室1厅,63,香坊,简装,90.0,否,否,9
板楼,南北,文政新区商圈,7,王兆新村,102102906259,3室1厅,75,香坊,简装,73.0,否,否,7
板楼,南,南岗会展商圈,9,建北街,102103840657,2室1厅,63,香坊,简装,90.0,否,否,9
板楼,南北,文政新区商圈,7,王兆新村,102102906259,3室1厅,75,香坊,简装,73.0,否,否,7
暂无数据,东南北,动力区,18,远大都市绿洲二期,102102417168,3室1厅,215,香坊,精装,185.0,否,否,18
暂无数据,南北,动力区,7,幸福家园(香坊区),102101952825,2室1厅,120,香坊,精装,128.0,否,否,7
板楼,南北,南岗会展商圈,32,善上居,102103778779,3室2厅,240,香坊,精装,146.0,否,否,32
板塔结合,东南北,动力区,7,海富山水文园二期,102102564326,3室1厅,105,香坊,精装,100.0,否,否,7
板楼,南北,动力区,6,绿海华庭,102103322383,3室1厅,115,香坊,精装,108.0,否,否,6
板楼,北,菜艺商圈,47,中山国际,102103910639,2室1厅,189,香坊,其他,115.0,否,否,47
板楼,南北,动力区,12,美罗湾二期,102102713744,3室2厅,105,香坊,精装,133.0,否,否,12
暂无数据,南北,菜艺商圈,4,八栋楼小区,102103563738,3室1厅,125,香坊,精装,128.0,否,否,4
板楼,南西北,龙塔,7,珠江路,102102878026,3室1厅,69.9,香坊,简装,88.0,否,否,7
板楼,南北,省医院商圈,30,四季上东一期,102101992365,3室3厅,420,香坊,精装,243.0,否,否,30
板楼,南北,菜艺商圈,7,珠江小区,102103366938,3室1厅,67,香坊,简装,124.0,否,否,7
平房,南北,文政新区商圈,19,文政雅居,102103707757,2室1厅,125,香坊,简装,93.0,否,否,19
板楼,南北,文政新区商圈,9,文政新区,102101633146,3室1厅,85,香坊,精装,112.0,否,否,9
板楼,南,动力区,19,阳光绿景,102102207819,2室1厅,104.5,香坊,精装,97.0,否,否,19
板塔结合,南北,菜艺商圈,8,香安名苑,102102558293,3室2厅,118,香坊,简装,139.0,否,否,8
板楼,南北,菜艺商圈,7,香顺街,102102945699,3室1厅,90,香坊,其他,100.0,否,否,7
板楼,东西,菜艺商圈,8,民建巷,102103590896,2室1厅,59,香坊,简装,102.0,否,否,8
板楼,南北,尚志公园,8,消防胡同,102103531175,3室1厅,68.5,香坊,简装,105.0,否,否,8
板塔结合,南北,动力区,7,海富山水文园二期,102103782681,3室2厅,123,香坊,精装,135.0,否,否,7
板塔结合,南北,动力区,7,海富山水文园二期,102103522454,3室2厅,158,香坊,简装,131.0,否,否,7
板楼,南北,动力区,7,海富漫香林,102103525750,2室1厅,134,香坊,精装,100.0,否,否,7
板楼,南北,南岗会展商圈,8,科技公寓,102103712593,3室2厅,88,香坊,简装,150.0,否,否,8
板楼,南北,菜艺商圈,5,红旗大街,102103638405,3室1厅,100,香坊,简装,101.0,否,否,5
板楼,西北,尚志公园,7,珑瑞小区,102103754880,3室1厅,180,香坊,精装,187.0,否,否,7
板楼,东南北,动力区,7,美罗湾三期,102101918685,3室1厅,93.8,香坊,精装,113.0,否,否,7
板楼,南北,省医院商圈,7,金房小区,102103107399,2室2厅,155,香坊,精装,119.0,否,否,7
塔楼,南西北,动力区,19,远大都市绿洲二期,102102564631,3室2厅,175,香坊,精装,177.0,否,否,19
板楼,南北,尚志公园,7,珑瑞小区,102102557509,2室1厅,95,香坊,简装,132.0,否,否,7
暂无数据,南北,动力区,7,幸福家园(香坊区),102101952825,2室1厅,120,香坊,精装,128.0,否,否,7
板楼,南,南岗会展商圈,9,建北街,102103840657,2室1厅,63,香坊,简装,90.0,否,否,9
板楼,南北,文政新区商圈,7,王兆新村,102102906259,3室1厅,75,香坊,简装,73.0,否,否,7
板楼,东西,安埠商圈,8,通天街,102101978297,2室1厅,54.8,香坊,精装,68.0,否,否,8
板楼,南北,菜艺商圈,5,民建巷,102103691490,2室1厅,44.5,香坊,简装,59.0,否,否,5
板楼,南北,动力区,6,大庆副路,102102567966,3室1厅,139.8,香坊,简装,155.0,否,否,6
板楼,南北,尚志公园,7,白毛小区,102102557395,3室1厅,63.8,香坊,简装,69.0,否,否,7
板楼,南北,尚志公园,7,珑瑞小区,102102557509,2室1厅,95,香坊,简装,132.0,否,否,7
