ID,标题,街道,商圈,户型介绍,关注\发布,标签,总价,单价
102104137148,房子南北通透地点好，交通便利，视野好配套全必看好房,民建巷    ,  菜艺商圈 ,3室2厅 | 131.11平米 | 北 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 7天以前发布,VR房源随时看房,74.8万,5706元/平米
102104050316,配套设施齐 机关单位家属楼 楼层好 人文好必看好房,市政小区    ,  先锋路商圈 ,2室1厅 | 84.19平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,7人关注 / 24天以前发布,VR房源随时看房,62万,7365元/平米
102104094063,2000年的房子，采光充足，视野开阔，无冷不挡必看好房,菜艺小区    ,  菜艺商圈 ,2室1厅 | 71.52平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,VR房源随时看房,69万,9648元/平米
102104062685,联部街 2室0厅 南必看好房,联部街    ,  海城市场商圈 ,2室0厅 | 46.46平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 22天以前发布,VR房源随时看房,24万,5166元/平米
102104058262,三室明厅.南北通透.标准H户型.拎包入住香一华联省医院必看好房,中山名苑    ,  菜艺商圈 ,3室1厅 | 160.25平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,3人关注 / 22天以前发布,VR房源,205万,12793元/平米
102104081545,北岸明珠 3室2厅 南 北必看好房,北岸明珠    ,  松北世贸大道 ,3室2厅 | 174平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 18天以前发布,VR房源,180万,10345元/平米
102104035269,全天采光 阳台视野开阔 可鸟瞰小区全貌必看好房,信恒现代城    ,  南岗会展商圈 ,3室2厅 | 140平米 | 南 北 | 简装 | 中楼层(共16层)  | 板塔结合,2人关注 / 26天以前发布,VR房源,183万,13072元/平米
102104133043,此房满五唯一，电梯洋房，南北通透，采光好必看好房,海富漫香林    ,  动力区 ,4室2厅 | 98.82平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 8天以前发布,VR房源,128.5万,13004元/平米
102104144496,龙瑞小区 两室大明厅  格局规整五楼必看好房,珑瑞小区    ,  尚志公园 ,2室1厅 | 100平米 | 东 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,VR房源,88万,8800元/平米
102104140105,新发小区 使用50米 通透户型 大成派出所楼上 很安全必看好房,新发小区F区    ,  新发小区大润发 ,2室2厅 | 70平米 | 东 西 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 6天以前发布,VR看装修随时看房,56.8万,8115元/平米
102104141869,道里 新阳 安信街 精装修 楼层2楼 可贷款必看好房,安信街    ,  安字片 ,2室1厅 | 42平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,6人关注 / 6天以前发布,VR房源随时看房,42万,10000元/平米
102101298733,瓦街 西大直街 西大桥 哈特 铁路街 砖街 曲线街必看好房,铁路街    ,  哈特百脑汇教化工大 ,3室2厅 | 108.96平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,13人关注 / 一年前发布,VR看装修随时看房,75万,6884元/平米
102104115540,精装修一室一厅拎包即住看房随时可贷款必看好房,滨才城二期    ,  哈尔滨新区 ,1室1厅 | 50.09平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 11天以前发布,VR房源,36万,7188元/平米
102104110805,文政街 农林街  小户型  中医药大学院内 90年房可贷款必看好房,中医药大学家属楼    ,  文政新区商圈 ,1室1厅 | 31.32平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 12天以前发布,VR房源随时看房,39万,12453元/平米
102104131059,靖宇五道街，东西通透，两室一大厅，建筑面积113必看好房,同记小区    ,  太古商圈 ,2室1厅 | 113.84平米 | 东 西 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 8天以前发布,VR房源,70万,6149元/平米
102104122366,哈西 万达华宅 满二 精装两室 配套齐全必看好房,万达华宅F区    ,  哈西商圈 ,2室1厅 | 92平米 | 东南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 10天以前发布,近地铁VR房源,146万,15870元/平米
102104125476,滨江凤凰城 2室1厅 南 北必看好房,滨江凤凰城    ,  玛克威 ,2室1厅 | 68.6平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 10天以前发布,VR房源,76万,11079元/平米
102104138034,民生尚都和园 2室1厅 南 北必看好房,民生尚都和园    ,  群力新区 ,2室1厅 | 67.83平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,2人关注 / 7天以前发布,VR看装修随时看房,53.8万,7932元/平米
102104133680,AB区好的位置，房子嘎嘎的，先看房再谈价，先到先得必看好房,征仪路花园小区B区    ,  哈西商圈 ,2室1厅 | 107.23平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 8天以前发布,VR房源随时看房,81.8万,7629元/平米
102104135020,南棵二道街  交通方便 购物方便 楼下全天市场必看好房,南棵二道街    ,  哈东站商圈 ,2室1厅 | 68平米 | 东 西 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,近地铁VR房源随时看房,43万,6324元/平米
102104137148,房子南北通透地点好，交通便利，视野好配套全必看好房,民建巷    ,  菜艺商圈 ,3室2厅 | 131.11平米 | 北 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 7天以前发布,VR房源随时看房,74.8万,5706元/平米
102104158268,商服照角店大门脸年租金门前有早晚市房主诚心出售必看好房,正阳花园    ,  建国公园 ,1室1厅 | 93.93平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 3天以前发布,VR房源随时看房,370万,39392元/平米
102104132396,世纪花园B区 总价低 业主诚意出售必看好房,世纪花园B区    ,  松北世贸大道 ,2室1厅 | 92.69平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,6人关注 / 8天以前发布,VR房源随时看房,79.8万,8610元/平米
102104095147,公滨城市花园 7带8 南北通透 下楼地铁口 出行方便必看好房,公滨城市花园    ,  农大商圈 ,4室2厅 | 174.37平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 15天以前发布,VR房源,64.8万,3717元/平米
102104131888,道里 家乐福 三楼 南北向 可贷款 45米使用面积 52万必看好房,通达街(道里区)    ,  公路大桥 ,2室1厅 | 62.53平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,4人关注 / 8天以前发布,VR房源,47.8万,7645元/平米
102104129305,和平小区  两室一厅    南北通透必看好房,和平小区    ,  先锋路商圈 ,2室1厅 | 63.68平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 9天以前发布,VR房源,46万,7224元/平米
102104149685,南北通透，视野开阔，价格合理.必看好房,群力家园k区    ,  群力新区 ,2室1厅 | 111.83平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 5天以前发布,VR房源随时看房,130万,11625元/平米
102104146072,美兰家园 精装密码锁 视野采光嘎嘎好必看好房,美兰家园    ,  哈尔滨新区 ,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,1人关注 / 5天以前发布,VR房源随时看房,81.8万,7575元/平米
102103637017,安定街 2室1厅 南 北必看好房,安定街    ,  安字片 ,2室1厅 | 107.07平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,10人关注 / 4个月以前发布,VR看装修随时看房,78万,7285元/平米
102104033545,三松宜家，loft，环境好，价格可谈，便宜必看好房,三松宜家    ,  群力新区 ,1室1厅 | 64.6平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,3人关注 / 27天以前发布,VR房源随时看房,73.6万,11394元/平米
102104150962,星河国际 视野宽阔 四室两厅两卫 楼层好 公园 地铁必看好房,星河国际  湘江路    ,  万达商圈 ,4室2厅 | 221.75平米 | 东 南 西 | 精装 | 中楼层(共32层)  | 塔楼,16人关注 / 4天以前发布,VR看装修,219万,9876元/平米
102104050316,配套设施齐 机关单位家属楼 楼层好 人文好必看好房,市政小区    ,  先锋路商圈 ,2室1厅 | 84.19平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,7人关注 / 24天以前发布,VR房源随时看房,62万,7365元/平米
102104094063,2000年的房子，采光充足，视野开阔，无冷不挡必看好房,菜艺小区    ,  菜艺商圈 ,2室1厅 | 71.52平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,VR房源随时看房,69万,9648元/平米
102104062685,联部街 2室0厅 南必看好房,联部街    ,  海城市场商圈 ,2室0厅 | 46.46平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 22天以前发布,VR房源随时看房,24万,5166元/平米
102104058262,三室明厅.南北通透.标准H户型.拎包入住香一华联省医院必看好房,中山名苑    ,  菜艺商圈 ,3室1厅 | 160.25平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,3人关注 / 22天以前发布,VR房源,205万,12793元/平米
102104081545,北岸明珠 3室2厅 南 北必看好房,北岸明珠    ,  松北世贸大道 ,3室2厅 | 174平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 18天以前发布,VR房源,180万,10345元/平米
102104035269,全天采光 阳台视野开阔 可鸟瞰小区全貌必看好房,信恒现代城    ,  南岗会展商圈 ,3室2厅 | 140平米 | 南 北 | 简装 | 中楼层(共16层)  | 板塔结合,2人关注 / 26天以前发布,VR房源,183万,13072元/平米
102104133043,此房满五唯一，电梯洋房，南北通透，采光好必看好房,海富漫香林    ,  动力区 ,4室2厅 | 98.82平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 8天以前发布,VR房源,128.5万,13004元/平米
102104144496,龙瑞小区 两室大明厅  格局规整五楼必看好房,珑瑞小区    ,  尚志公园 ,2室1厅 | 100平米 | 东 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,VR房源,88万,8800元/平米
102104140105,新发小区 使用50米 通透户型 大成派出所楼上 很安全必看好房,新发小区F区    ,  新发小区大润发 ,2室2厅 | 70平米 | 东 西 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 6天以前发布,VR看装修随时看房,56.8万,8115元/平米
102104141869,道里 新阳 安信街 精装修 楼层2楼 可贷款必看好房,安信街    ,  安字片 ,2室1厅 | 42平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,6人关注 / 6天以前发布,VR房源随时看房,42万,10000元/平米
102101298733,瓦街 西大直街 西大桥 哈特 铁路街 砖街 曲线街必看好房,铁路街    ,  哈特百脑汇教化工大 ,3室2厅 | 108.96平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,13人关注 / 一年前发布,VR看装修随时看房,75万,6884元/平米
102104115540,精装修一室一厅拎包即住看房随时可贷款必看好房,滨才城二期    ,  哈尔滨新区 ,1室1厅 | 50.09平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 11天以前发布,VR房源,36万,7188元/平米
102104110805,文政街 农林街  小户型  中医药大学院内 90年房可贷款必看好房,中医药大学家属楼    ,  文政新区商圈 ,1室1厅 | 31.32平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 12天以前发布,VR房源随时看房,39万,12453元/平米
102104131059,靖宇五道街，东西通透，两室一大厅，建筑面积113必看好房,同记小区    ,  太古商圈 ,2室1厅 | 113.84平米 | 东 西 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 8天以前发布,VR房源,70万,6149元/平米
102104122366,哈西 万达华宅 满二 精装两室 配套齐全必看好房,万达华宅F区    ,  哈西商圈 ,2室1厅 | 92平米 | 东南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 10天以前发布,近地铁VR房源,146万,15870元/平米
102104125476,滨江凤凰城 2室1厅 南 北必看好房,滨江凤凰城    ,  玛克威 ,2室1厅 | 68.6平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 10天以前发布,VR房源,76万,11079元/平米
102104138034,民生尚都和园 2室1厅 南 北必看好房,民生尚都和园    ,  群力新区 ,2室1厅 | 67.83平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,2人关注 / 7天以前发布,VR看装修随时看房,53.8万,7932元/平米
102104133680,AB区好的位置，房子嘎嘎的，先看房再谈价，先到先得必看好房,征仪路花园小区B区    ,  哈西商圈 ,2室1厅 | 107.23平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 8天以前发布,VR房源随时看房,81.8万,7629元/平米
102104135020,南棵二道街  交通方便 购物方便 楼下全天市场必看好房,南棵二道街    ,  哈东站商圈 ,2室1厅 | 68平米 | 东 西 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,近地铁VR房源随时看房,43万,6324元/平米
102104148910,维也纳河畔新城2-1-1-1 83.00m² 78 万必看好房,维也纳河畔新城    ,  太平商圈 ,2室1厅 | 83平米 | 南 西 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 5天以前发布,近地铁VR看装修随时看房,78万,9398元/平米
102104117870,轩辕小区2-1-1-1 54.71m² 41.8必看好房,轩辕小区    ,  玛克威 ,2室1厅 | 54.71平米 | 西 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 11天以前发布,VR房源随时看房,41.8万,7641元/平米
102104097395,地恒托斯卡纳大LOFT，两室大明厅，可贷款必看好房,地恒托斯卡纳四期    ,  哈尔滨新区 ,2室2厅 | 67平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,4人关注 / 15天以前发布,VR房源随时看房,85.8万,12806元/平米
102104134426,南岗区 汉阳街 正规格局 采光好 下楼就是西大直街必看好房,汉阳街    ,  西大桥商圈 ,2室1厅 | 40平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 8天以前发布,VR房源随时看房,44.5万,11125元/平米
102104126154,户型板正，楼层好 采光好  交通便利必看好房,同庆胡同    ,  玛克威 ,3室1厅 | 67.26平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 9天以前发布,VR房源随时看房,53.7万,7984元/平米
102104152265,哈东站地铁家园一层三户建筑66米东西17楼必看好房,地铁家园    ,  哈东站商圈 ,2室1厅 | 66平米 | 东 西 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 4天以前发布,VR房源随时看房,41.5万,6288元/平米
102104152921,元士街 1室1厅 南必看好房,元士街    ,  西大桥商圈 ,1室1厅 | 35.59平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,VR房源随时看房,66.8万,18770元/平米
102104145522,学府经典 2室1厅 西必看好房,学府经典    ,  哈西商圈 ,2室1厅 | 62平米 | 西 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 5天以前发布,VR房源随时看房,97万,15646元/平米
102104144592,有产证 2室明厅 装修好 二环里 封闭小区 24小时保安必看好房,柏悦星城    ,  先锋路商圈 ,2室1厅 | 72平米 | 南 北 | 简装 | 中楼层(共29层)  | 板楼,2人关注 / 5天以前发布,VR房源随时看房,70万,9723元/平米
102104150321,高层板楼大电梯，南北通透大两居，群力家园604户型必看好房,群力家园k区    ,  群力新区 ,2室1厅 | 111.92平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 4天以前发布,VR房源随时看房,130万,11616元/平米
102104156936,一室明厅，采光好，无遮挡，好房必看好房,枫蓝国际    ,  哈西商圈 ,1室1厅 | 57.26平米 | 西 南 | 简装 | 33层  | 板楼,0人关注 / 3天以前发布,VR房源随时看房,62.8万,10968元/平米
102104158653,轩辕小区 2室1厅 南必看好房,轩辕小区    ,  玛克威 ,2室1厅 | 56.47平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3天以前发布,VR房源随时看房,50.8万,8996元/平米
102104145878,马家沟校区 两室一厅 93年房子 南北通透必看好房,文教街    ,  马家沟校大成街 ,2室1厅 | 53平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 5天以前发布,VR房源随时看房,47万,8868元/平米
102104158293,哈特商圈地铁西大直街3楼东西通透2室1厅必看好房,同江街    ,  哈特百脑汇教化工大 ,2室1厅 | 50.4平米 | 东 西 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 3天以前发布,VR房源随时看房,52.8万,10477元/平米
102104098242,南岗曲线小区 中间楼层采光好 南北通透 精装修必看好房,曲线街    ,  哈特百脑汇教化工大 ,2室1厅 | 62.81平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,VR房源随时看房,60万,9553元/平米
102104155647,和兴十一道街 三楼 两室精装 通透户型 79米 使用50米必看好房,牛房小区二期    ,  仪兴商圈 ,2室1厅 | 78.57平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3天以前发布,VR房源随时看房,69.8万,8884元/平米
102102014601,太古新天地，两室一厅，中等装修，采光好，近巴洛克必看好房,太古新天地    ,  太古商圈 ,2室2厅 | 103.29平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,32人关注 / 一年前发布,VR看装修随时看房,84.8万,8210元/平米
102103908192,世茂威廉公馆 实验校区房 两室南北通透 婚装 可贷款必看好房,世茂威廉公馆    ,  松北世贸大道 ,2室2厅 | 106.49平米 | 东 南 北 | 精装 | 低楼层(共21层)  | 板塔结合,4人关注 / 1个月以前发布,VR看装修随时看房,121.8万,11438元/平米
102103624181,满两年 交通便利 两室一厅 电梯房 封闭小区必看好房,华尚·万象新天    ,  哈尔滨新区 ,2室1厅 | 102.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,VR看装修随时看房,79万,7700元/平米
102102944142,此房南北朝向 地理位置好 生活便利 可贷款、采光充足必看好房,世纪花园C区    ,  松北世贸大道 ,2室2厅 | 125平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 9个月以前发布,VR看装修随时看房,123万,9840元/平米
102103497223,哈西继红 硬装20W满二  8成新  H格局通透不把边必看好房,中海·雍景熙岸    ,  哈西商圈 ,3室2厅 | 107.97平米 | 南 北 | 精装 | 33层  | 板塔结合,34人关注 / 5个月以前发布,VR看装修随时看房,187万,17320元/平米
102103234353,三室大明厅 双阳台 南北通透 精装修 2006年房产必看好房,红城小区    ,  先锋路商圈 ,3室1厅 | 93.98平米 | 南 西 北 | 精装 | 高楼层(共7层)  | 板楼,52人关注 / 7个月以前发布,VR看装修随时看房,68万,7236元/平米
102103218300,南直路 两室明厅精装修 南北通透中间楼层无遮挡可贷款必看好房,一机路教师楼    ,  哈东站商圈 ,2室1厅 | 60.92平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 7个月以前发布,近地铁VR看装修随时看房,42.8万,7026元/平米
102103598318,诚心出售，两室明厅，南北通透，无冷不挡，必看好房,保障华庭小区    ,  南十四道街商圈 ,2室1厅 | 90.76平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,19人关注 / 5个月以前发布,VR看装修随时看房,91.8万,10115元/平米
102103244348,西大直街和兴路 和兴商厦 年租8w 户型方正三室明厅必看好房,和兴商厦    ,  西大桥商圈 ,3室2厅 | 152.92平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,14人关注 / 7个月以前发布,VR看装修随时看房,129.8万,8489元/平米
102103948855,注意：满五唯一落地窗、优秀采光视野、小区景观位置必看好房,世茂滨江 法兰西    ,  松北世贸大道 ,3室2厅 | 147.79平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,10人关注 / 1个月以前发布,VR看装修随时看房,154.8万,10475元/平米
102103832156,恒润嘉园 宣化街大润发 三室明厅  东芝电梯 便宜卖了必看好房,恒润嘉园    ,  新发小区大润发 ,3室2厅 | 157.23平米 | 东 | 精装 | 低楼层(共17层)  | 板塔结合,14人关注 / 2个月以前发布,VR看装修随时看房,110万,6997元/平米
102101509314,"六顺街5楼南北通透格局板正采光好,..............必看好房",六顺街    ,  菜艺商圈 ,2室2厅 | 111.46平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,34人关注 / 一年前发布,VR看装修随时看房,76万,6819元/平米
102103986489,金丰优豪斯 5楼 装修好 没毛病 采光好必看好房,金丰优豪斯    ,  马家沟校大成街 ,1室0厅 | 46.36平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,2人关注 / 1个月以前发布,VR房源随时看房,45.8万,9880元/平米
102104043754,恒祥中山 封闭小区两室一厅南北通透中间楼层采光好必看好房,恒祥中山    ,  省医院商圈 ,2室1厅 | 71.19平米 | 南 北 | 简装 | 中楼层(共33层)  | 塔楼,5人关注 / 25天以前发布,VR房源随时看房,101万,14188元/平米
102104130378,海富名都 两室明厅 南北通透 育红校区 电梯房能公积金必看好房,海富名都城    ,  新发小区大润发 ,2室1厅 | 99.94平米 | 东 西 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 8天以前发布,VR房源,128万,12808元/平米
102104133793,恒大珺庭三室两卫，一天没住过，没有尾贷必看好房,恒大珺庭    ,  哈西商圈 ,3室2厅 | 145平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 8天以前发布,近地铁VR房源,220万,15173元/平米
102104138776,周卫配套成熟 户型设计合理 采光充足 公交地铁..必看好房,河清街    ,  公路大桥 ,2室1厅 | 55平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 7天以前发布,VR房源,44.8万,8146元/平米
102104133904,恒大御景湾一期中间层重新装了 产权满二 小区内位置好必看好房,恒大御景湾    ,  动力区 ,3室2厅 | 148.7平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,1人关注 / 8天以前发布,VR房源,174万,11702元/平米
102104097179,南岗区教化工大 团结 4楼 三室 采光好 萧红 工夫必看好房,邮政街(上夹树街)    ,  团结萧红校哈站北秀宾馆 ,3室1厅 | 84平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 15天以前发布,近地铁VR房源,67万,7977元/平米
102104144759,人和名苑 3室1厅 东北必看好房,人和名苑    ,  儿童公园 ,3室1厅 | 200平米 | 东北 | 简装 | 中楼层(共30层)  | 板楼,0人关注 / 5天以前发布,近地铁VR房源,195万,9750元/平米
102104139920,三室一厅  无冷不当  采光充足必看好房,香坊大街    ,  尚志公园 ,3室2厅 | 135平米 | 南 北 | 简装 | 低楼层(共8层)  | 板塔结合,0人关注 / 6天以前发布,VR房源,95万,7038元/平米
102104153426,保障四期 封闭小区小高层中间楼层精装修拎包即住必看好房,保障华庭四期    ,  南十四道街商圈 ,3室2厅 | 137.58平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 4天以前发布,VR房源,188万,13665元/平米
102104139097,龙电花园 电梯房 嘎嘎板正 南向 没毛病 出门儿童公园必看好房,龙电花园    ,  儿童公园 ,3室2厅 | 180.47平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 7天以前发布,VR房源,190万,10529元/平米
102104166172,正大龙生 可公积金 私产 精装修 三楼必看好房,正大龙生家园    ,  南十四道街商圈 ,2室1厅 | 81.5平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 2天以前发布,VR房源,75万,9203元/平米
102104157807,中财雅典城 2室2厅 南 北必看好房,中财雅典城    ,  南马校 ,2室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 3天以前发布,VR房源,168万,12924元/平米
102104147893,"5楼通风好,采光好婚装，拎包住格局好必看好房",天宝小区    ,  省医院商圈 ,2室1厅 | 75平米 | 西 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,VR房源,56万,7467元/平米
102104146458,河源小区三室户型位置好采光好南北通透必看好房,河源小区    ,  群力新区 ,3室1厅 | 122平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 5天以前发布,VR房源,143万,11722元/平米
102104152881,凤凰城高层两室明厅靖宇街二十道街精装修未住存业主房必看好房,滨江凤凰城    ,  玛克威 ,2室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 4天以前发布,VR房源,118万,12041元/平米
102104157476,南岗 西大桥地铁 低楼层 两室明厅 精装修 双阳台必看好房,松明街    ,  西大桥商圈 ,2室1厅 | 85平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 3天以前发布,VR房源,90万,10589元/平米
102104159791,城市之星 市政府后花园 大润发 万象汇必看好房,城市之星    ,  松北世贸大道 ,3室2厅 | 127.68平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 3天以前发布,VR看装修,155万,12140元/平米
102102335147,光华小区 婚装 三室明厅 拎包住 诚心出售 等待有缘人必看好房,光华小区    ,  公路大桥 ,3室2厅 | 108.15平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,19人关注 / 一年前发布,VR看装修,65.9万,6094元/平米
